condition,fps,passage_id,n_capture_events,n_unique_source_frames,n_human_suited_capture_events,n_available_human_suited_source_frames,n_captured_unique_human_suited_source_frames,unique_gt_suited_retention,gt_opportunity_exists,selector_data_available,selector_event_mapping_available,n_classifier_accepted_events,classifier_covered,n_human_suited_events_preserved,gt_suited_opportunity_preserved,coverage_preserved_by_false_positive,coverage_outcome
fixed_fps,1.0,0002,8,8,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0005az,17,17,2,19,2,0.10526315789473684,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0006,12,12,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,000742,11,11,1,12,1,0.08333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0007vm,8,8,0,6,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0008vd,10,10,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0008vm,6,6,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0009ro,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0009vd,6,6,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0010,7,7,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0010az,11,11,2,15,2,0.13333333333333333,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0011br,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0013ro,8,8,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0014,8,8,2,8,2,0.25,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0014s2,6,6,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0014vm,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0015,7,7,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0020,5,5,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0020az,11,11,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0020vd,8,8,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0021,8,8,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0024,11,11,2,18,2,0.1111111111111111,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0024br,6,6,1,6,1,0.16666666666666666,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0024vd,16,16,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0026,6,6,0,7,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0027vm,10,10,5,45,5,0.1111111111111111,True,True,True,5,True,5,True,False,coverage_preserved
fixed_fps,1.0,0028vm,6,6,1,11,1,0.09090909090909091,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0029,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0029am,7,7,2,27,2,0.07407407407407407,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0030am,8,8,3,23,3,0.13043478260869565,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0031az,9,9,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0032az,22,22,3,22,3,0.13636363636363635,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,1.0,0034az,11,11,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0035,5,5,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0041vd,4,4,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0041vds2,3,3,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0043az,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0044,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0047,6,6,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0047az,9,9,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0048az,8,8,0,5,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0050,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0050vd,8,8,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0052az,10,10,2,22,2,0.09090909090909091,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0053az,22,22,4,31,4,0.12903225806451613,True,True,True,4,True,4,True,False,coverage_preserved
fixed_fps,1.0,0054az,7,7,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0055,5,5,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0056,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0057,12,12,1,10,1,0.1,True,True,True,2,True,1,True,False,coverage_preserved
fixed_fps,1.0,0059,8,8,0,2,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,0059az,7,7,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0060az,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0062,15,15,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0063vd,9,9,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0065az,9,9,1,11,1,0.09090909090909091,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0065vd,8,8,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0066az,9,9,1,11,1,0.09090909090909091,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0067vd,9,9,3,30,3,0.1,True,True,True,3,True,3,True,False,coverage_preserved
fixed_fps,1.0,0068vd,30,30,2,35,2,0.05714285714285714,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0068vds2,26,26,7,81,7,0.08641975308641975,True,True,True,8,True,7,True,False,coverage_preserved
fixed_fps,1.0,0069az,13,13,0,3,0,0.0,False,True,True,1,True,0,False,True,coverage_preserved
fixed_fps,1.0,0071az,5,5,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0071vd,6,6,1,3,1,0.3333333333333333,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0074,6,6,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0084az,6,6,0,4,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0101,7,7,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0116vd,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0117vd,5,5,0,3,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0118vd,6,6,1,9,1,0.1111111111111111,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0119vd,6,6,1,10,1,0.1,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0120vd,8,8,3,22,3,0.13636363636363635,True,True,True,2,True,2,True,False,coverage_preserved
fixed_fps,1.0,0121vd,8,8,2,20,2,0.1,True,True,True,3,True,2,True,False,coverage_preserved
fixed_fps,1.0,0122vd,7,7,0,2,0,0.0,False,True,True,0,False,0,False,,sampling_failure
fixed_fps,1.0,0123vd,5,5,1,7,1,0.14285714285714285,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0124vd,5,5,1,4,1,0.25,True,True,True,1,True,1,True,False,coverage_preserved
fixed_fps,1.0,0125vd,5,5,1,5,1,0.2,True,True,True,1,True,1,True,False,coverage_preserved
