passage_id,candidate_count,min_capture_index,max_capture_index
0002,7,28,69
0005az,6,32,76
0006,6,77,93
000742,6,42,91
0007vm,6,36,62
0008vd,7,45,79
0008vm,6,25,41
0009ro,6,40,54
0009vd,6,31,44
0010,7,22,48
0010az,8,35,86
0011br,3,23,25
0013ro,6,35,63
0014,11,28,77
0014s2,6,25,42
0014vm,6,35,57
0015,6,44,62
0020,6,25,44
0020az,6,61,90
0020vd,6,46,60
0021,6,43,58
0024,6,50,94
0024br,6,24,41
0024vd,18,42,143
0026,6,22,50
0027vm,8,18,86
0028vm,6,25,52
0029,7,36,59
0029am,5,27,67
0030am,6,20,58
0031az,6,52,74
0032az,9,85,111
0034az,6,71,86
0035,6,21,43
0041vd,7,6,23
0041vds2,10,5,29
0043az,6,27,41
0044,6,21,37
0047,6,34,51
0047az,6,42,64
0048az,6,36,63
0050,6,38,56
0050vd,9,35,64
0052az,6,21,75
0053az,12,107,208
0054az,8,29,59
0055,6,19,33
0056,6,20,41
0057,10,66,109
0059,6,50,68
0059az,6,35,54
0060az,6,36,54
0062,6,124,148
0063vd,7,38,57
0065az,7,31,68
0065vd,6,23,54
0066az,6,34,72
0067vd,7,25,76
0068vd,47,29,298
0068vds2,13,24,223
0069az,8,101,124
0071az,7,29,45
0071vd,7,19,40
0074,6,31,53
0084az,6,31,50
0101,6,40,57
0116vd,6,21,38
0117vd,6,22,35
0118vd,5,21,50
0119vd,6,19,46
0120vd,6,25,71
0121vd,6,33,68
0122vd,7,46,61
0123vd,6,23,41
0124vd,6,21,35
0125vd,6,15,32
0126,6,49,75
0127vd,19,20,59
0128,6,54,88
0128vd,7,24,46
0129az,6,19,32
0130az,6,28,74
0131az,8,24,80
0133az,6,20,36
0134az,6,23,111
0135az,5,20,30
0137az,7,36,103
0138,6,51,76
0138azs2,12,16,44
0140qz,3,26,28
0141az,9,22,53
014bmf,7,25,62
0170,6,53,71
0183,6,112,130
0184,6,26,57
0186,6,22,49
0188,6,22,39
0192,7,6,22
0197,15,54,80
01mf,1,95,95
0200,13,38,74
0210,6,37,53
0214,15,21,46
0217,7,63,85
0219,6,23,43
0247,6,48,99
0253,6,42,67
0262,17,75,170
0263,10,17,38
0275,6,54,72
0278,6,27,56
02mf,6,7,60
03mf,4,28,56
0428,6,36,56
0438,6,47,63
0456,6,55,73
0458,6,35,53
0463,8,95,115
0468,6,29,49
0472,6,86,101
0473,6,51,68
04mf,6,19,35
0502,3,45,47
0502vd,6,25,52
0504,6,83,97
0505,8,26,47
0506vd,7,29,50
0507,6,20,35
0508,4,44,53
0510,6,33,66
0511,6,19,42
0515vd,6,60,82
05mf,3,31,33
0605az,7,64,87
0606az,7,137,155
0607az,6,35,52
0608az,7,44,64
0610az,3,76,78
0612az,6,59,73
0741,11,29,61
0792,15,27,52
0796,6,26,40
0799,6,34,50
0806ro,7,43,60
0902br,6,23,48
0903,6,51,72
0909,7,61,113
0918,6,27,47
0937,7,25,42
0955,17,33,55
0963,14,32,80
0971,12,31,75
0972,6,93,104
0974,6,25,37
0977,6,23,37
0978,6,18,33
0982,6,21,33
0983,6,31,47
0984,6,49,65
0985,6,22,36
0986,6,24,37
0987,6,20,33
0988,6,83,109
0990,6,63,76
0992,7,31,57
0993,6,28,45
0994,6,44,56
0995,6,21,33
0998,6,30,43
0999,6,13,25
09mf,6,29,49
1000,6,28,48
1001,6,27,77
1003,6,28,53
1005,6,23,37
10mf,6,43,79
11mf,6,46,72
608azf,6,30,77
66vdf,7,35,65
67vdf,6,24,85
71azf,7,24,39
802rof,4,25,30
806rof,6,18,40
902brf,6,29,47
