pilot_order,review_order,passage_id,capture_index,relative_time_ms,rgb_filename,rgb_prev_3,rgb_prev_2,rgb_prev_1,rgb_next_1,rgb_next_2,rgb_next_3,original_label,candidate_reason,final_review,notes
1,7,0002,69,6927.0,002_16990_2025_01_26_09_15_02_810643_RGB_640_480_3.png,002_16987_2025_01_26_09_15_02_509620_RGB_640_480_3.png,002_16988_2025_01_26_09_15_02_613076_RGB_640_480_3.png,002_16989_2025_01_26_09_15_02_706386_RGB_640_480_3.png,002_16991_2025_01_26_09_15_02_909180_RGB_640_480_3.png,,,background,high_pdi,,
2,11,0005az,74,7734.0,0005az_10856_2025_01_25_17_11_10_791906_RGB_640_480_3.png,0005az_10853_2025_01_25_17_11_10_480024_RGB_640_480_3.png,0005az_10854_2025_01_25_17_11_10_580516_RGB_640_480_3.png,0005az_10855_2025_01_25_17_11_10_684462_RGB_640_480_3.png,0005az_10857_2025_01_25_17_11_10_892154_RGB_640_480_3.png,0005az_10858_2025_01_25_17_11_10_998277_RGB_640_480_3.png,0005az_10859_2025_01_25_17_11_11_106460_RGB_640_480_3.png,background,boundary,,
3,31,0007vm,62,6629.0,0007vm_6502_2025_01_25_16_49_21_707944_RGB_640_480_3.png,0007vm_6499_2025_01_25_16_49_21_398183_RGB_640_480_3.png,0007vm_6500_2025_01_25_16_49_21_494771_RGB_640_480_3.png,0007vm_6501_2025_01_25_16_49_21_597841_RGB_640_480_3.png,0007vm_6503_2025_01_25_16_49_21_804414_RGB_640_480_3.png,0007vm_6504_2025_01_25_16_49_21_902767_RGB_640_480_3.png,0007vm_6505_2025_01_25_16_49_21_995143_RGB_640_480_3.png,background,boundary,,
4,37,0008vd,78,8371.0,0008vd_8626_2025_01_25_16_57_43_569051_RGB_640_480_3.png,0008vd_8622_2025_01_25_16_57_43_160269_RGB_640_480_3.png,0008vd_8623_2025_01_25_16_57_43_269443_RGB_640_480_3.png,0008vd_8624_2025_01_25_16_57_43_376367_RGB_640_480_3.png,0008vd_8627_2025_01_25_16_57_43_678398_RGB_640_480_3.png,0008vd_8628_2025_01_25_16_57_43_818073_RGB_640_480_3.png,0008vd_8629_2025_01_25_16_57_43_942681_RGB_640_480_3.png,background,boundary+high_pdi,,
5,38,0008vd,79,8480.0,0008vd_8627_2025_01_25_16_57_43_678398_RGB_640_480_3.png,0008vd_8623_2025_01_25_16_57_43_269443_RGB_640_480_3.png,0008vd_8624_2025_01_25_16_57_43_376367_RGB_640_480_3.png,0008vd_8626_2025_01_25_16_57_43_569051_RGB_640_480_3.png,0008vd_8628_2025_01_25_16_57_43_818073_RGB_640_480_3.png,0008vd_8629_2025_01_25_16_57_43_942681_RGB_640_480_3.png,0008vd_8630_2025_01_25_16_57_44_047440_RGB_640_480_3.png,background,high_pdi,,
6,63,0010,48,4649.0,010_1723_2025_01_25_10_44_46_257301_RGB_640_480_3.png,010_1720_2025_01_25_10_44_45_952209_RGB_640_480_3.png,010_1721_2025_01_25_10_44_46_053824_RGB_640_480_3.png,010_1722_2025_01_25_10_44_46_158976_RGB_640_480_3.png,010_1724_2025_01_25_10_44_46_359726_RGB_640_480_3.png,010_1725_2025_01_25_10_44_46_459115_RGB_640_480_3.png,010_1726_2025_01_25_10_44_46_549291_RGB_640_480_3.png,background,high_pdi,,
7,71,0010az,86,9399.0,0010az_9878_2025_01_25_17_04_25_487887_RGB_640_480_3.png,0010az_9875_2025_01_25_17_04_25_143404_RGB_640_480_3.png,0010az_9876_2025_01_25_17_04_25_251102_RGB_640_480_3.png,0010az_9877_2025_01_25_17_04_25_359389_RGB_640_480_3.png,0010az_9879_2025_01_25_17_04_25_587536_RGB_640_480_3.png,0010az_9880_2025_01_25_17_04_25_682381_RGB_640_480_3.png,0010az_9881_2025_01_25_17_04_25_784935_RGB_640_480_3.png,background,high_pdi,,
8,72,0011br,23,2348.0,0011br_8817_2025_01_25_16_58_40_982459_RGB_640_480_3.png,0011br_8814_2025_01_25_16_58_40_690450_RGB_640_480_3.png,0011br_8815_2025_01_25_16_58_40_786016_RGB_640_480_3.png,0011br_8816_2025_01_25_16_58_40_880646_RGB_640_480_3.png,0011br_8818_2025_01_25_16_58_41_079672_RGB_640_480_3.png,0011br_8819_2025_01_25_16_58_41_180708_RGB_640_480_3.png,0011br_8820_2025_01_25_16_58_41_281478_RGB_640_480_3.png,background,boundary,,
9,86,0014,54,5263.0,0014_555_2025_01_25_10_31_33_601341_RGB_640_480_3.png,0014_552_2025_01_25_10_31_33_286492_RGB_640_480_3.png,0014_553_2025_01_25_10_31_33_393795_RGB_640_480_3.png,0014_554_2025_01_25_10_31_33_497723_RGB_640_480_3.png,0014_556_2025_01_25_10_31_33_692196_RGB_640_480_3.png,0014_557_2025_01_25_10_31_33_797834_RGB_640_480_3.png,0014_558_2025_01_25_10_31_33_900912_RGB_640_480_3.png,background,boundary,,
10,107,0015,60,5582.0,0015_5392_2025_01_25_11_09_00_566108_RGB_640_480_3.png,0015_5389_2025_01_25_11_09_00_267590_RGB_640_480_3.png,0015_5390_2025_01_25_11_09_00_363344_RGB_640_480_3.png,0015_5391_2025_01_25_11_09_00_465084_RGB_640_480_3.png,0015_5393_2025_01_25_11_09_00_663268_RGB_640_480_3.png,0015_5394_2025_01_25_11_09_00_767199_RGB_640_480_3.png,0015_5395_2025_01_25_11_09_00_867773_RGB_640_480_3.png,background,boundary,,
11,119,0020az,88,8757.0,0020az_7100_2025_01_25_16_52_46_274034_RGB_640_480_3.png,0020az_7097_2025_01_25_16_52_45_983613_RGB_640_480_3.png,0020az_7098_2025_01_25_16_52_46_084440_RGB_640_480_3.png,0020az_7099_2025_01_25_16_52_46_176517_RGB_640_480_3.png,0020az_7101_2025_01_25_16_52_46_372347_RGB_640_480_3.png,0020az_7102_2025_01_25_16_52_46_469935_RGB_640_480_3.png,0020az_7103_2025_01_25_16_52_46_565609_RGB_640_480_3.png,background,boundary,,
12,127,0020vd,60,6274.0,0020vd_10998_2025_01_25_17_11_42_787826_RGB_640_480_3.png,0020vd_10995_2025_01_25_17_11_42_478603_RGB_640_480_3.png,0020vd_10996_2025_01_25_17_11_42_574881_RGB_640_480_3.png,0020vd_10997_2025_01_25_17_11_42_686388_RGB_640_480_3.png,0020vd_10999_2025_01_25_17_11_42_886343_RGB_640_480_3.png,0020vd_11000_2025_01_25_17_11_42_996692_RGB_640_480_3.png,0020vd_11001_2025_01_25_17_11_43_102819_RGB_640_480_3.png,background,boundary,,
13,138,0024,93,9204.0,0024_1893_2025_01_25_10_45_39_727611_RGB_640_480_3.png,0024_1890_2025_01_25_10_45_39_416418_RGB_640_480_3.png,0024_1891_2025_01_25_10_45_39_526773_RGB_640_480_3.png,0024_1892_2025_01_25_10_45_39_623196_RGB_640_480_3.png,0024_1894_2025_01_25_10_45_39_829867_RGB_640_480_3.png,0024_1895_2025_01_25_10_45_39_930739_RGB_640_480_3.png,0024_1896_2025_01_25_10_45_40_025581_RGB_640_480_3.png,background,boundary+high_pdi,,
14,139,0024,94,9306.0,0024_1894_2025_01_25_10_45_39_829867_RGB_640_480_3.png,0024_1891_2025_01_25_10_45_39_526773_RGB_640_480_3.png,0024_1892_2025_01_25_10_45_39_623196_RGB_640_480_3.png,0024_1893_2025_01_25_10_45_39_727611_RGB_640_480_3.png,0024_1895_2025_01_25_10_45_39_930739_RGB_640_480_3.png,0024_1896_2025_01_25_10_45_40_025581_RGB_640_480_3.png,0024_1897_2025_01_25_10_45_40_121049_RGB_640_480_3.png,background,boundary+high_pdi,,
15,171,0027vm,19,1838.0,0027vm_12602_2025_01_25_17_20_01_644201_RGB_640_480_3.png,0027vm_12599_2025_01_25_17_20_01_340372_RGB_640_480_3.png,0027vm_12600_2025_01_25_17_20_01_449300_RGB_640_480_3.png,0027vm_12601_2025_01_25_17_20_01_544342_RGB_640_480_3.png,0027vm_12603_2025_01_25_17_20_01_741305_RGB_640_480_3.png,0027vm_12604_2025_01_25_17_20_01_843697_RGB_640_480_3.png,0027vm_12605_2025_01_25_17_20_01_938019_RGB_640_480_3.png,background,high_pdi,,
16,176,0027vm,85,9303.0,0027vm_12668_2025_01_25_17_20_09_109578_RGB_640_480_3.png,0027vm_12665_2025_01_25_17_20_08_813801_RGB_640_480_3.png,0027vm_12666_2025_01_25_17_20_08_912597_RGB_640_480_3.png,0027vm_12667_2025_01_25_17_20_09_016795_RGB_640_480_3.png,0027vm_12669_2025_01_25_17_20_09_198643_RGB_640_480_3.png,0027vm_12670_2025_01_25_17_20_09_292295_RGB_640_480_3.png,0027vm_12671_2025_01_25_17_20_09_406049_RGB_640_480_3.png,background,boundary+high_pdi,,
17,182,0028vm,51,5035.0,0028vm_12722_2025_01_25_17_20_26_048527_RGB_640_480_3.png,0028vm_12719_2025_01_25_17_20_25_733925_RGB_640_480_3.png,0028vm_12720_2025_01_25_17_20_25_847400_RGB_640_480_3.png,0028vm_12721_2025_01_25_17_20_25_939311_RGB_640_480_3.png,0028vm_12723_2025_01_25_17_20_26_152946_RGB_640_480_3.png,0028vm_12724_2025_01_25_17_20_26_256975_RGB_640_480_3.png,0028vm_12725_2025_01_25_17_20_26_364372_RGB_640_480_3.png,background,boundary+high_pdi,,
18,190,0029,59,5771.0,0029_4462_2025_01_25_11_03_13_952271_RGB_640_480_3.png,0029_4459_2025_01_25_11_03_13_654797_RGB_640_480_3.png,0029_4460_2025_01_25_11_03_13_749043_RGB_640_480_3.png,0029_4461_2025_01_25_11_03_13_855947_RGB_640_480_3.png,0029_4463_2025_01_25_11_03_14_050943_RGB_640_480_3.png,0029_4464_2025_01_25_11_03_14_145412_RGB_640_480_3.png,0029_4465_2025_01_25_11_03_14_246290_RGB_640_480_3.png,background,high_pdi,,
19,197,0030am,21,2012.0,0030am_9906_2025_01_25_17_04_38_422436_RGB_640_480_3.png,0030am_9903_2025_01_25_17_04_38_123964_RGB_640_480_3.png,0030am_9904_2025_01_25_17_04_38_223959_RGB_640_480_3.png,0030am_9905_2025_01_25_17_04_38_321675_RGB_640_480_3.png,0030am_9907_2025_01_25_17_04_38_532491_RGB_640_480_3.png,0030am_9908_2025_01_25_17_04_38_626753_RGB_640_480_3.png,0030am_9909_2025_01_25_17_04_38_738514_RGB_640_480_3.png,background,boundary,,
20,205,0031az,72,7149.0,0031az_10033_2025_01_25_17_05_00_929943_RGB_640_480_3.png,0031az_10030_2025_01_25_17_05_00_630513_RGB_640_480_3.png,0031az_10031_2025_01_25_17_05_00_726522_RGB_640_480_3.png,0031az_10032_2025_01_25_17_05_00_829902_RGB_640_480_3.png,0031az_10034_2025_01_25_17_05_01_031462_RGB_640_480_3.png,0031az_10035_2025_01_25_17_05_01_334054_RGB_640_480_3.png,0031az_10036_2025_01_25_17_05_01_828659_RGB_640_480_3.png,background,boundary,,
