review_order,passage_id,capture_index,relative_time_ms,rgb_filename,rgb_prev_3,rgb_prev_2,rgb_prev_1,rgb_next_1,rgb_next_2,rgb_next_3,original_label,candidate_reason,final_review,notes
1,0002,28,2741.0,002_16949_2025_01_26_09_14_58_624263_RGB_640_480_3.png,002_16946_2025_01_26_09_14_58_312159_RGB_640_480_3.png,002_16947_2025_01_26_09_14_58_403043_RGB_640_480_3.png,002_16948_2025_01_26_09_14_58_516090_RGB_640_480_3.png,002_16950_2025_01_26_09_14_58_724609_RGB_640_480_3.png,002_16951_2025_01_26_09_14_58_827588_RGB_640_480_3.png,002_16952_2025_01_26_09_14_58_943205_RGB_640_480_3.png,background,boundary,,
2,0002,29,2841.0,002_16950_2025_01_26_09_14_58_724609_RGB_640_480_3.png,002_16947_2025_01_26_09_14_58_403043_RGB_640_480_3.png,002_16948_2025_01_26_09_14_58_516090_RGB_640_480_3.png,002_16949_2025_01_26_09_14_58_624263_RGB_640_480_3.png,002_16951_2025_01_26_09_14_58_827588_RGB_640_480_3.png,002_16952_2025_01_26_09_14_58_943205_RGB_640_480_3.png,002_16953_2025_01_26_09_14_59_042138_RGB_640_480_3.png,background,boundary,,
3,0002,30,2944.0,002_16951_2025_01_26_09_14_58_827588_RGB_640_480_3.png,002_16948_2025_01_26_09_14_58_516090_RGB_640_480_3.png,002_16949_2025_01_26_09_14_58_624263_RGB_640_480_3.png,002_16950_2025_01_26_09_14_58_724609_RGB_640_480_3.png,002_16952_2025_01_26_09_14_58_943205_RGB_640_480_3.png,002_16953_2025_01_26_09_14_59_042138_RGB_640_480_3.png,002_16954_2025_01_26_09_14_59_157605_RGB_640_480_3.png,background,boundary,,
4,0002,62,6206.0,002_16983_2025_01_26_09_15_02_089312_RGB_640_480_3.png,002_16980_2025_01_26_09_15_01_798110_RGB_640_480_3.png,002_16981_2025_01_26_09_15_01_899267_RGB_640_480_3.png,002_16982_2025_01_26_09_15_01_996225_RGB_640_480_3.png,002_16984_2025_01_26_09_15_02_190142_RGB_640_480_3.png,002_16985_2025_01_26_09_15_02_297853_RGB_640_480_3.png,002_16986_2025_01_26_09_15_02_399565_RGB_640_480_3.png,background,boundary,,
5,0002,63,6307.0,002_16984_2025_01_26_09_15_02_190142_RGB_640_480_3.png,002_16981_2025_01_26_09_15_01_899267_RGB_640_480_3.png,002_16982_2025_01_26_09_15_01_996225_RGB_640_480_3.png,002_16983_2025_01_26_09_15_02_089312_RGB_640_480_3.png,002_16985_2025_01_26_09_15_02_297853_RGB_640_480_3.png,002_16986_2025_01_26_09_15_02_399565_RGB_640_480_3.png,002_16987_2025_01_26_09_15_02_509620_RGB_640_480_3.png,background,boundary,,
6,0002,64,6414.0,002_16985_2025_01_26_09_15_02_297853_RGB_640_480_3.png,002_16982_2025_01_26_09_15_01_996225_RGB_640_480_3.png,002_16983_2025_01_26_09_15_02_089312_RGB_640_480_3.png,002_16984_2025_01_26_09_15_02_190142_RGB_640_480_3.png,002_16986_2025_01_26_09_15_02_399565_RGB_640_480_3.png,002_16987_2025_01_26_09_15_02_509620_RGB_640_480_3.png,002_16988_2025_01_26_09_15_02_613076_RGB_640_480_3.png,background,boundary,,
7,0002,69,6927.0,002_16990_2025_01_26_09_15_02_810643_RGB_640_480_3.png,002_16987_2025_01_26_09_15_02_509620_RGB_640_480_3.png,002_16988_2025_01_26_09_15_02_613076_RGB_640_480_3.png,002_16989_2025_01_26_09_15_02_706386_RGB_640_480_3.png,002_16991_2025_01_26_09_15_02_909180_RGB_640_480_3.png,,,background,high_pdi,,
8,0005az,32,3306.0,0005az_10814_2025_01_25_17_11_06_364184_RGB_640_480_3.png,0005az_10811_2025_01_25_17_11_06_043030_RGB_640_480_3.png,0005az_10812_2025_01_25_17_11_06_149567_RGB_640_480_3.png,0005az_10813_2025_01_25_17_11_06_250443_RGB_640_480_3.png,0005az_10815_2025_01_25_17_11_06_478470_RGB_640_480_3.png,0005az_10816_2025_01_25_17_11_06_566698_RGB_640_480_3.png,0005az_10817_2025_01_25_17_11_06_676248_RGB_640_480_3.png,background,boundary,,
9,0005az,33,3420.0,0005az_10815_2025_01_25_17_11_06_478470_RGB_640_480_3.png,0005az_10812_2025_01_25_17_11_06_149567_RGB_640_480_3.png,0005az_10813_2025_01_25_17_11_06_250443_RGB_640_480_3.png,0005az_10814_2025_01_25_17_11_06_364184_RGB_640_480_3.png,0005az_10816_2025_01_25_17_11_06_566698_RGB_640_480_3.png,0005az_10817_2025_01_25_17_11_06_676248_RGB_640_480_3.png,0005az_10818_2025_01_25_17_11_06_777178_RGB_640_480_3.png,background,boundary,,
10,0005az,34,3508.0,0005az_10816_2025_01_25_17_11_06_566698_RGB_640_480_3.png,0005az_10813_2025_01_25_17_11_06_250443_RGB_640_480_3.png,0005az_10814_2025_01_25_17_11_06_364184_RGB_640_480_3.png,0005az_10815_2025_01_25_17_11_06_478470_RGB_640_480_3.png,0005az_10817_2025_01_25_17_11_06_676248_RGB_640_480_3.png,0005az_10818_2025_01_25_17_11_06_777178_RGB_640_480_3.png,0005az_10819_2025_01_25_17_11_06_874916_RGB_640_480_3.png,background,boundary,,
