timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-18T12:36:13.142302,61.6,59.6,56.6,52.0,61.6,50.0,44.4,37.4
2026-04-18T12:36:14.143772,42.9,41.8,36.4,32.3,55.7,49.0,38.0,35.0
2026-04-18T12:36:15.147147,47.5,43.0,41.0,38.0,65.0,53.5,49.5,42.0
2026-04-18T12:36:16.153846,35.7,32.7,29.3,26.3,56.7,55.1,45.5,38.4
2026-04-18T12:36:17.155519,39.2,36.4,30.6,27.3,61.6,52.0,42.0,40.0
2026-04-18T12:36:18.160061,38.4,33.3,31.0,28.3,60.6,49.0,37.8,36.4
2026-04-18T12:36:19.163765,34.3,31.6,29.3,26.3,52.5,50.5,47.5,36.4
2026-04-18T12:36:20.166683,39.2,35.7,32.3,28.6,67.0,55.6,47.0,42.0
2026-04-18T12:36:21.171162,38.8,33.3,29.6,27.3,59.6,46.5,39.4,33.3
2026-04-18T12:36:22.171782,38.4,32.7,27.3,29.0,58.2,50.0,47.5,39.4
2026-04-18T12:36:23.177328,35.7,32.3,28.3,26.3,59.6,54.5,46.5,36.6
2026-04-18T12:36:24.183794,69.7,66.7,66.7,62.6,69.7,68.7,60.2,55.1
2026-04-18T12:36:25.190644,94.0,94.0,92.0,91.1,92.0,90.0,89.0,86.9
2026-04-18T12:36:26.197354,94.1,93.0,92.9,93.0,94.9,93.0,92.0,91.0
2026-04-18T12:36:27.198625,46.9,43.4,38.0,35.4,59.6,58.0,53.5,39.0
2026-04-18T12:36:28.204280,33.3,29.3,28.0,26.0,43.9,30.6,16.8,10.9
2026-04-18T12:36:29.209709,45.0,39.0,33.3,35.0,25.8,16.0,9.0,2.0
2026-04-18T12:36:30.214839,44.3,42.0,39.0,33.7,37.4,41.8,24.2,17.8
2026-04-18T12:36:31.219895,36.4,29.3,29.3,26.7,61.2,50.5,45.0,36.4
2026-04-18T12:36:32.225737,34.3,25.5,23.2,23.2,62.2,57.6,53.1,43.4
2026-04-18T12:36:33.229535,46.5,39.4,35.4,33.7,57.0,50.5,48.5,43.0
2026-04-18T12:36:34.232008,33.7,25.3,24.2,22.0,56.7,55.1,50.5,36.4
2026-04-18T12:36:35.236408,48.5,42.9,37.0,36.7,56.6,46.9,39.4,33.0
2026-04-18T12:36:36.241058,39.8,37.0,30.6,29.3,60.6,56.6,49.0,40.4
2026-04-18T12:36:37.243797,54.5,44.9,43.4,40.4,69.4,63.6,58.0,53.0
2026-04-18T12:36:38.249044,40.4,36.4,35.0,32.3,58.2,58.2,52.0,39.8
2026-04-18T12:36:39.252773,52.0,48.5,41.8,40.0,58.6,49.0,43.4,37.0
2026-04-18T12:36:40.257699,69.7,65.7,64.0,60.6,75.5,68.7,66.7,61.0
2026-04-18T12:36:41.266181,87.0,86.0,81.8,80.2,78.8,68.0,62.6,60.0
2026-04-18T12:36:42.272374,63.6,61.0,60.0,57.6,74.7,75.0,71.0,65.0
2026-04-18T12:36:43.275422,55.6,53.5,48.5,49.0,37.8,26.5,21.0,17.2
2026-04-18T12:36:44.280816,34.0,32.0,26.0,26.3,20.2,24.5,4.0,2.0
2026-04-18T12:36:45.282516,23.0,19.2,19.0,16.2,22.2,24.0,10.9,7.0
