Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-05-27T12:04:30.412520,  0.0,05.1079,0.58434,02.9801
2026-05-27T12:04:31.382646,  1.0,05.1075,0.59841,03.0518
2026-05-27T12:04:32.403444,  2.0,05.1069,0.85022,04.3361
2026-05-27T12:04:33.375640,  3.0,05.1071,0.84955,04.3327
2026-05-27T12:04:34.396404,  4.0,05.1070,0.91297,04.6561
2026-05-27T12:04:35.370617,  5.0,05.1072,0.84264,04.2974
2026-05-27T12:04:36.391535,  6.0,05.1073,0.80946,04.1282
2026-05-27T12:04:37.413535,  7.0,05.1097,0.88194,04.4978
2026-05-27T12:04:38.390092,  8.0,05.1098,0.89583,04.5687
2026-05-27T12:04:39.410879,  9.0,05.1071,0.92342,04.7094
2026-05-27T12:04:40.388206, 10.0,05.1072,0.85342,04.3524
2026-05-27T12:04:41.411002, 11.0,05.1094,0.86370,04.4048
2026-05-27T12:04:42.386923, 12.0,05.1074,0.89868,04.5832
2026-05-27T12:04:43.411148, 13.0,05.1072,0.98568,05.0269
2026-05-27T12:04:44.387449, 14.0,05.1072,0.93306,04.7586
2026-05-27T12:04:45.411859, 15.0,05.1074,0.84537,04.3113
2026-05-27T12:04:46.388224, 16.0,05.1075,0.81591,04.1611
2026-05-27T12:04:47.408622, 17.0,05.1078,0.93236,04.7550
2026-05-27T12:04:48.383527, 18.0,05.1076,0.94767,04.8331
2026-05-27T12:04:49.405259, 19.0,05.1056,1.05083,05.3592
2026-05-27T12:04:50.380994, 20.0,05.1048,1.10903,05.6560
2026-05-27T12:04:51.402798, 21.0,05.1072,1.09228,05.5706
2026-05-27T12:04:52.382807, 22.0,05.1044,1.07721,05.4937
2026-05-27T12:04:53.406722, 23.0,05.1091,1.12198,05.7220
2026-05-27T12:04:54.382399, 24.0,05.1033,0.96593,04.9262
2026-05-27T12:04:55.407641, 25.0,05.1083,1.11746,05.6990
2026-05-27T12:04:56.383602, 26.0,05.1067,0.98283,05.0124
2026-05-27T12:04:57.405070, 27.0,05.1131,1.06337,05.4338
2026-05-27T12:04:58.384484, 28.0,05.1016,1.00471,05.1240
2026-05-27T12:04:59.405116, 29.0,05.1192,1.31632,06.7263
2026-05-27T12:05:00.381459, 30.0,05.1086,0.75036,03.8268
2026-05-27T12:05:01.399401, 31.0,05.1078,0.79821,04.0708
2026-05-27T12:05:02.373559, 32.0,05.1086,0.78639,04.0105
2026-05-27T12:05:03.393589, 33.0,05.1087,1.38843,07.0809
2026-05-27T12:05:04.415280, 34.0,05.1076,1.04697,05.3395
2026-05-27T12:05:05.391220, 35.0,05.0997,1.12412,05.7217
2026-05-27T12:05:06.412420, 36.0,05.1089,0.96471,04.9200
2026-05-27T12:05:07.387705, 37.0,05.1020,1.05866,05.3991
2026-05-27T12:05:08.410554, 38.0,05.1053,1.14427,05.8357
2026-05-27T12:05:09.388428, 39.0,05.1028,1.20256,06.1330
2026-05-27T12:05:10.410342, 40.0,05.1078,1.07222,05.4683
2026-05-27T12:05:11.386618, 41.0,05.1106,1.20851,06.1754
2026-05-27T12:05:12.408936, 42.0,05.1091,1.32366,06.7506
2026-05-27T12:05:13.383447, 43.0,05.1173,1.26501,06.4642
2026-05-27T12:05:14.404924, 44.0,05.1123,1.16328,05.9443
2026-05-27T12:05:15.378251, 45.0,05.1086,0.76983,03.9261
2026-05-27T12:05:16.398387, 46.0,05.1088,0.76801,03.9168
2026-05-27T12:05:17.418526, 47.0,05.1087,0.80750,04.1182
2026-05-27T12:05:18.395287, 48.0,05.1089,0.88852,04.5314
2026-05-27T12:05:19.419032, 49.0,05.1082,1.07928,05.5043
2026-05-27T12:05:20.396099, 50.0,05.1022,0.98270,05.0117
2026-05-27T12:05:21.418940, 51.0,05.1116,1.20282,06.1464
