timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-06-19T11:12:27.464296,4.0,3.0,73.0,3.0
2026-06-19T11:12:28.466086,50.5,8.9,50.5,12.0
2026-06-19T11:12:29.470263,89.9,5.0,11.9,5.0
2026-06-19T11:12:30.470775,1.0,2.0,77.8,0.0
2026-06-19T11:12:31.471306,0.0,0.0,4.0,0.0
2026-06-19T11:12:32.473283,0.0,0.0,57.0,0.0
2026-06-19T11:12:33.474660,0.0,0.0,100.0,0.0
2026-06-19T11:12:34.476072,13.1,8.2,33.7,13.9
2026-06-19T11:12:35.476785,18.0,11.2,17.0,17.0
2026-06-19T11:12:36.477324,20.8,15.0,15.2,23.2
2026-06-19T11:12:37.477845,14.0,14.9,16.8,29.3
2026-06-19T11:12:38.478280,11.0,9.1,1.0,37.0
2026-06-19T11:12:39.481258,11.0,9.9,0.0,36.0
2026-06-19T11:12:40.481740,8.2,9.9,0.0,36.6
2026-06-19T11:12:41.482356,11.1,9.0,1.0,34.3
2026-06-19T11:12:42.484009,12.7,9.0,0.0,36.4
2026-06-19T11:12:43.485227,16.3,10.0,6.9,27.0
2026-06-19T11:12:44.486508,67.0,4.0,10.0,4.0
2026-06-19T11:12:45.488951,100.0,0.0,0.0,0.0
2026-06-19T11:12:46.490406,100.0,0.0,0.0,3.0
2026-06-19T11:12:47.492174,100.0,18.0,6.1,24.2
2026-06-19T11:12:48.498325,91.8,80.0,72.4,76.8
2026-06-19T11:12:49.505801,87.6,85.0,89.7,90.0
2026-06-19T11:12:50.507557,86.7,88.7,86.6,92.0
2026-06-19T11:12:51.512082,89.7,87.8,86.7,87.6
2026-06-19T11:12:52.515593,85.9,88.8,87.5,85.6
2026-06-19T11:12:53.524369,83.3,88.0,89.5,91.9
2026-06-19T11:12:54.533333,88.9,90.6,87.9,85.9
2026-06-19T11:12:55.535174,84.8,90.7,88.3,91.8
2026-06-19T11:12:56.545648,83.0,89.9,90.6,90.7
2026-06-19T11:12:57.548402,87.0,92.9,90.0,86.9
2026-06-19T11:12:58.553267,87.3,89.1,90.2,87.3
2026-06-19T11:12:59.619349,0.0,0.0,100.0,0.0
2026-06-19T11:13:00.622872,17.0,68.0,36.7,21.2
