Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-05-27T08:23:38.269918,  0.0,05.1088,0.51568,02.6299
2026-05-27T08:23:39.285654,  1.0,05.1084,0.67075,03.4208
2026-05-27T08:23:40.302193,  2.0,05.1072,0.73697,03.7585
2026-05-27T08:23:41.274773,  3.0,05.1084,0.72774,03.7114
2026-05-27T08:23:42.295394,  4.0,05.1083,0.74078,03.7779
2026-05-27T08:23:43.270135,  5.0,05.1082,0.74085,03.7783
2026-05-27T08:23:44.288756,  6.0,05.1076,0.84989,04.3344
2026-05-27T08:23:45.261116,  7.0,05.1076,0.84479,04.3084
2026-05-27T08:23:46.285029,  8.0,05.1074,0.85464,04.3586
2026-05-27T08:23:47.302865,  9.0,05.1072,0.85868,04.3792
2026-05-27T08:23:48.274061, 10.0,05.1076,0.85445,04.3576
2026-05-27T08:23:49.293412, 11.0,05.1056,0.89814,04.5805
2026-05-27T08:23:50.265746, 12.0,05.1116,0.84478,04.3168
2026-05-27T08:23:51.286849, 13.0,05.1083,0.98705,05.0339
2026-05-27T08:23:52.304871, 14.0,05.1056,0.95829,04.8872
2026-05-27T08:23:53.276275, 15.0,05.1092,1.03612,05.2842
2026-05-27T08:23:54.294228, 16.0,05.1064,1.00369,05.1188
2026-05-27T08:23:55.267745, 17.0,05.1064,0.99126,05.0554
2026-05-27T08:23:56.284565, 18.0,05.1080,0.82386,04.2016
2026-05-27T08:23:57.303946, 19.0,05.1074,0.79002,04.0291
2026-05-27T08:23:58.276442, 20.0,05.1075,0.93083,04.7472
2026-05-27T08:23:59.297057, 21.0,05.1078,0.92637,04.7244
2026-05-27T08:24:00.269642, 22.0,05.1058,0.93022,04.7441
2026-05-27T08:24:01.284508, 23.0,05.1077,0.97621,04.9786
2026-05-27T08:24:02.304586, 24.0,05.1133,1.10986,05.6713
2026-05-27T08:24:03.277696, 25.0,05.1056,1.11511,05.6870
2026-05-27T08:24:04.296162, 26.0,05.1097,1.04963,05.3531
2026-05-27T08:24:05.268391, 27.0,05.1044,1.08800,05.5488
2026-05-27T08:24:06.286277, 28.0,05.1117,0.98805,05.0489
2026-05-27T08:24:07.304274, 29.0,05.1098,1.15693,05.9003
2026-05-27T08:24:08.277632, 30.0,05.1061,1.06767,05.4451
2026-05-27T08:24:09.298112, 31.0,05.1061,1.11600,05.6916
2026-05-27T08:24:10.273649, 32.0,05.1061,1.01380,05.1703
2026-05-27T08:24:11.296649, 33.0,05.1055,1.07257,05.4701
2026-05-27T08:24:12.270646, 34.0,05.1066,1.45422,07.4165
2026-05-27T08:24:13.292936, 35.0,05.1076,0.74196,03.7839
2026-05-27T08:24:14.268766, 36.0,05.1062,0.74019,03.7749
