Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-29T17:28:10.280121,  0.0,05.1094,0.70376,03.5891
2026-04-29T17:28:11.299385,  1.0,05.1095,0.81261,04.1443
2026-04-29T17:28:12.272362,  2.0,05.1096,0.78295,03.9930
2026-04-29T17:28:13.288137,  3.0,05.1098,0.78336,03.9951
2026-04-29T17:28:14.305189,  4.0,05.1098,0.80104,04.0853
2026-04-29T17:28:15.277973,  5.0,05.1093,0.78906,04.0242
2026-04-29T17:28:16.296708,  6.0,05.1119,0.90235,04.6110
2026-04-29T17:28:17.314370,  7.0,05.1081,0.88016,04.4888
2026-04-29T17:28:18.289390,  8.0,05.1108,0.82450,04.2131
2026-04-29T17:28:19.308188,  9.0,05.1085,0.86638,04.4185
2026-04-29T17:28:20.279019, 10.0,05.1087,0.95818,04.8867
2026-04-29T17:28:21.300067, 11.0,05.1083,0.92793,04.7324
2026-04-29T17:28:22.273540, 12.0,05.1114,0.91042,04.6522
2026-04-29T17:28:23.293039, 13.0,05.1081,0.94357,04.8122
2026-04-29T17:28:24.312850, 14.0,05.1134,0.96371,04.9245
2026-04-29T17:28:25.288487, 15.0,05.1019,1.10690,05.6451
2026-04-29T17:28:26.307586, 16.0,05.1079,0.93670,04.7771
2026-04-29T17:28:27.278164, 17.0,05.1079,1.02075,05.2058
2026-04-29T17:28:28.297500, 18.0,05.1077,1.03802,05.2939
2026-04-29T17:28:29.318814, 19.0,05.1088,0.81699,04.1666
2026-04-29T17:28:30.291729, 20.0,05.1088,0.81032,04.1326
2026-04-29T17:28:31.314176, 21.0,05.1084,0.94970,04.8434
2026-04-29T17:28:32.287513, 22.0,05.1085,0.96043,04.8981
2026-04-29T17:28:33.307116, 23.0,05.1084,0.98000,04.9980
2026-04-29T17:28:34.281093, 24.0,05.1114,0.92504,04.7269
2026-04-29T17:28:35.304477, 25.0,05.1151,1.04184,05.3238
2026-04-29T17:28:36.281663, 26.0,05.1090,1.18662,06.0517
2026-04-29T17:28:37.305950, 27.0,05.1111,1.04200,05.3246
2026-04-29T17:28:38.282680, 28.0,05.1048,1.08110,05.5136
2026-04-29T17:28:39.305958, 29.0,05.1056,1.01671,05.1852
2026-04-29T17:28:40.279464, 30.0,05.1103,1.11079,05.6761
2026-04-29T17:28:41.301696, 31.0,05.1094,1.18949,06.0663
2026-04-29T17:28:42.280439, 32.0,05.1133,1.11636,05.7045
2026-04-29T17:28:43.303344, 33.0,05.1105,1.10066,05.6243
2026-04-29T17:28:44.279041, 34.0,05.0967,1.06759,05.4340
2026-04-29T17:28:45.300998, 35.0,05.1008,1.24143,06.3312
2026-04-29T17:28:46.277333, 36.0,05.0991,0.74019,03.7675
2026-04-29T17:28:47.298353, 37.0,05.1083,0.74057,03.7769
2026-04-29T17:28:48.318734, 38.0,05.1125,1.09716,05.6064
2026-04-29T17:28:49.295524, 39.0,05.1100,1.14376,05.8446
2026-04-29T17:28:50.316505, 40.0,05.1053,1.05586,05.3848
2026-04-29T17:28:51.292056, 41.0,05.1106,1.07307,05.4833
2026-04-29T17:28:52.312459, 42.0,05.1100,1.09665,05.6038
2026-04-29T17:28:53.286088, 43.0,05.1097,1.00182,05.1092
2026-04-29T17:28:54.305939, 44.0,05.1112,1.08282,05.5332
