timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-05-27T10:14:15.093908,26.7,25.5,18.8,57.8
2026-05-27T10:14:16.097455,64.7,25.5,37.1,9.0
2026-05-27T10:14:17.102661,47.0,39.2,37.4,43.6
2026-05-27T10:14:18.104766,58.4,4.0,6.0,57.0
2026-05-27T10:14:19.106401,67.0,0.0,0.0,73.8
2026-05-27T10:14:20.106823,48.5,1.0,0.0,49.5
2026-05-27T10:14:21.107206,5.0,0.0,0.0,5.9
2026-05-27T10:14:22.109881,34.7,0.0,0.0,41.2
2026-05-27T10:14:23.112307,53.1,0.0,0.0,54.6
2026-05-27T10:14:24.113293,54.5,0.0,1.0,53.6
2026-05-27T10:14:25.115051,58.6,0.0,1.0,57.7
2026-05-27T10:14:26.119100,1.0,0.0,0.0,2.0
2026-05-27T10:14:27.146150,36.6,25.0,38.0,37.0
2026-05-27T10:14:28.201983,49.5,53.5,46.2,33.3
2026-05-27T10:14:29.282611,39.0,37.9,52.9,45.4
2026-05-27T10:14:30.314858,42.6,45.3,44.9,55.8
2026-05-27T10:14:31.337349,44.1,44.6,53.9,43.0
2026-05-27T10:14:32.366339,54.8,44.6,47.5,46.6
2026-05-27T10:14:33.398686,41.0,52.9,41.6,45.8
2026-05-27T10:14:34.412516,39.8,45.2,49.0,46.9
2026-05-27T10:14:35.424199,37.9,40.4,43.3,53.5
2026-05-27T10:14:36.435043,41.2,48.5,48.5,48.0
2026-05-27T10:14:37.450457,41.2,41.4,45.5,44.3
2026-05-27T10:14:38.456226,12.2,17.0,20.8,30.6
2026-05-27T10:14:39.458114,11.0,9.8,25.7,7.9
2026-05-27T10:14:40.460833,36.6,72.2,22.8,23.8
2026-05-27T10:14:41.475499,58.0,37.0,51.0,30.3
2026-05-27T10:14:42.488070,41.0,41.0,40.2,47.9
2026-05-27T10:14:43.504966,43.6,42.4,54.6,45.5
2026-05-27T10:14:44.521340,38.8,41.0,53.5,45.6
2026-05-27T10:14:45.537052,43.6,42.9,56.7,44.6
2026-05-27T10:14:46.552849,52.7,42.3,44.1,43.6
2026-05-27T10:14:47.566865,49.5,41.0,39.8,42.4
2026-05-27T10:14:48.586590,52.5,41.4,42.7,45.6
2026-05-27T10:14:49.602425,46.5,43.4,45.7,47.1
2026-05-27T10:14:50.608091,36.4,40.6,49.0,47.9
2026-05-27T10:14:51.610202,7.9,9.0,2.0,0.0
2026-05-27T10:14:52.611770,10.1,40.4,9.0,10.0
2026-05-27T10:14:53.615925,29.0,57.6,50.5,30.4
2026-05-27T10:14:54.660341,51.4,41.8,22.1,36.7
2026-05-27T10:14:55.667083,40.8,47.9,41.7,45.1
2026-05-27T10:14:56.682487,55.3,45.4,41.8,45.3
2026-05-27T10:14:57.695611,52.0,42.4,44.2,41.6
2026-05-27T10:14:58.709228,44.0,41.5,41.1,52.0
2026-05-27T10:14:59.719611,36.7,42.0,45.1,49.5
2026-05-27T10:15:00.732402,44.3,43.0,45.5,45.1
2026-05-27T10:15:01.755851,48.5,40.4,39.4,43.7
2026-05-27T10:15:02.770756,46.2,46.1,46.0,45.9
2026-05-27T10:15:03.780822,44.6,46.3,46.1,39.0
2026-05-27T10:15:04.784194,6.0,4.0,3.0,12.1
2026-05-27T10:15:05.785893,16.8,28.3,32.7,12.1
2026-05-27T10:15:06.788336,44.8,34.3,57.1,29.1
2026-05-27T10:15:07.792713,35.7,42.6,43.9,51.5
2026-05-27T10:15:08.802631,43.4,57.7,44.6,39.6
2026-05-27T10:15:09.814073,41.9,43.6,49.5,39.6
2026-05-27T10:15:10.827307,43.9,50.5,40.2,45.9
2026-05-27T10:15:11.842283,42.2,43.7,43.8,52.9
2026-05-27T10:15:12.850998,41.6,47.0,53.3,43.4
2026-05-27T10:15:13.861605,39.2,35.2,50.0,38.4
2026-05-27T10:15:14.887439,40.4,42.6,50.5,43.3
2026-05-27T10:15:15.906442,47.6,42.3,48.6,44.3
2026-05-27T10:15:16.911150,21.9,47.4,39.2,24.0
2026-05-27T10:15:17.912265,0.0,0.0,0.0,0.0
2026-05-27T10:15:18.914131,18.4,44.0,26.0,15.3
2026-05-27T10:15:19.916941,54.9,48.0,28.6,35.8
2026-05-27T10:15:20.925246,44.0,47.5,36.4,47.6
2026-05-27T10:15:21.934912,43.1,38.5,55.9,41.5
2026-05-27T10:15:22.940803,43.0,42.6,42.0,54.5
2026-05-27T10:15:23.953988,42.2,57.0,45.0,44.7
2026-05-27T10:15:24.964803,37.8,45.5,50.0,43.1
2026-05-27T10:15:25.983896,42.7,45.1,50.5,46.5
2026-05-27T10:15:26.999525,41.0,42.1,49.5,38.5
2026-05-27T10:15:28.017226,39.4,42.9,54.4,43.7
2026-05-27T10:15:29.023796,46.1,45.5,39.8,46.1
2026-05-27T10:15:30.028643,31.3,26.0,44.1,31.9
2026-05-27T10:15:31.029760,0.0,0.0,0.0,1.0
2026-05-27T10:15:32.031041,19.6,54.1,21.4,33.3
2026-05-27T10:15:33.032808,55.1,57.0,27.4,29.0
2026-05-27T10:15:34.039722,45.0,41.6,41.7,50.5
2026-05-27T10:15:35.046793,53.5,44.9,45.0,39.8
2026-05-27T10:15:36.056779,41.4,50.0,42.7,46.9
2026-05-27T10:15:37.071354,43.0,59.0,42.9,41.2
2026-05-27T10:15:38.082087,37.5,42.6,40.0,48.5
2026-05-27T10:15:39.091613,42.2,43.4,46.1,50.5
2026-05-27T10:15:40.105222,38.4,36.6,43.6,54.0
2026-05-27T10:15:41.118205,38.4,52.5,41.2,40.6
2026-05-27T10:15:42.135354,47.1,43.6,40.8,45.1
2026-05-27T10:15:43.139602,31.0,27.3,26.5,23.5
2026-05-27T10:15:44.140750,0.0,0.0,0.0,0.0
2026-05-27T10:15:45.142069,48.0,19.8,25.5,33.0
2026-05-27T10:15:46.145227,43.9,48.5,48.0,31.3
2026-05-27T10:15:47.151763,51.5,39.0,35.8,47.0
2026-05-27T10:15:48.158684,45.5,43.9,41.8,57.0
2026-05-27T10:15:49.170416,41.2,42.6,56.1,42.2
2026-05-27T10:15:50.179347,43.0,42.9,46.5,56.6
2026-05-27T10:15:51.197005,46.0,41.0,43.8,49.0
2026-05-27T10:15:52.211922,41.0,53.5,41.8,35.8
2026-05-27T10:15:53.228984,41.6,39.8,42.2,54.2
2026-05-27T10:15:54.245915,38.5,54.1,42.2,39.4
