Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-05-27T10:14:01.756320,  0.0,05.1094,0.64110,03.2696
2026-05-27T10:14:02.773484,  1.0,05.1096,0.73383,03.7425
2026-05-27T10:14:03.747567,  2.0,05.1100,0.83808,04.2825
2026-05-27T10:14:04.767679,  3.0,05.1094,0.80616,04.1114
2026-05-27T10:14:05.742848,  4.0,05.1066,0.83271,04.2468
2026-05-27T10:14:06.760496,  5.0,05.1086,0.82038,04.1839
2026-05-27T10:14:07.736719,  6.0,05.1059,0.88046,04.4903
2026-05-27T10:14:08.758703,  7.0,05.1076,0.90652,04.6232
2026-05-27T10:14:09.779598,  8.0,05.1072,0.90330,04.6068
2026-05-27T10:14:10.756814,  9.0,05.1098,0.91679,04.6756
2026-05-27T10:14:11.778333, 10.0,05.1075,0.84420,04.3054
2026-05-27T10:14:12.751968, 11.0,05.1075,0.95386,04.8646
2026-05-27T10:14:13.769673, 12.0,05.1056,0.89048,04.5414
2026-05-27T10:14:14.745220, 13.0,05.1026,1.00921,05.1469
2026-05-27T10:14:15.765017, 14.0,05.1072,1.00108,05.1055
2026-05-27T10:14:16.737480, 15.0,05.1031,1.09872,05.6034
2026-05-27T10:14:17.758884, 16.0,05.1073,0.95761,04.8838
2026-05-27T10:14:18.777972, 17.0,05.1073,0.95271,04.8588
2026-05-27T10:14:19.754384, 18.0,05.1098,1.02237,05.2140
2026-05-27T10:14:20.774562, 19.0,05.1070,0.84154,04.2918
2026-05-27T10:14:21.747210, 20.0,05.1047,1.00429,05.1218
2026-05-27T10:14:22.764169, 21.0,05.1076,0.98018,04.9989
2026-05-27T10:14:23.781599, 22.0,05.1089,0.94287,04.8086
2026-05-27T10:14:24.756478, 23.0,05.1091,1.00509,05.1259
2026-05-27T10:14:25.775669, 24.0,05.1117,0.74960,03.8304
2026-05-27T10:14:26.747317, 25.0,05.1001,1.38257,07.0511
2026-05-27T10:14:27.766575, 26.0,05.0983,1.35736,06.9089
2026-05-27T10:14:28.739573, 27.0,05.1064,1.19247,06.0815
2026-05-27T10:14:29.759683, 28.0,05.1075,1.33670,06.8171
2026-05-27T10:14:30.780061, 29.0,05.1081,1.26701,06.4617
2026-05-27T10:14:31.755699, 30.0,05.1125,1.26795,06.4792
2026-05-27T10:14:32.777929, 31.0,05.1075,1.08661,05.5417
2026-05-27T10:14:33.756711, 32.0,05.1098,1.06904,05.4521
2026-05-27T10:14:34.779101, 33.0,05.1042,1.12918,05.7588
2026-05-27T10:14:35.755608, 34.0,05.1120,1.03742,05.3012
2026-05-27T10:14:36.776375, 35.0,05.1145,1.16904,05.9737
2026-05-27T10:14:37.752779, 36.0,05.1056,1.15835,05.9075
2026-05-27T10:14:38.775238, 37.0,05.1087,0.77613,03.9582
2026-05-27T10:14:39.747882, 38.0,05.0966,1.19235,06.0690
2026-05-27T10:14:40.769392, 39.0,05.1103,1.19566,06.1098
2026-05-27T10:14:41.745202, 40.0,05.1022,1.23123,06.2792
2026-05-27T10:14:42.765546, 41.0,05.1034,1.34182,06.8432
2026-05-27T10:14:43.786975, 42.0,05.1047,1.33420,06.8044
2026-05-27T10:14:44.762938, 43.0,05.1048,1.36977,06.9858
2026-05-27T10:14:45.785905, 44.0,05.1048,1.20796,06.1605
2026-05-27T10:14:46.760567, 45.0,05.1056,1.10662,05.6437
2026-05-27T10:14:47.780174, 46.0,05.1103,1.28178,06.5498
2026-05-27T10:14:48.755196, 47.0,05.1097,1.14367,05.8327
