timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-26T16:16:33.959116,53.1,16.0,13.7,46.5
2026-04-26T16:16:34.960474,18.0,60.0,29.3,30.0
2026-04-26T16:16:35.969268,46.4,45.0,39.2,34.3
2026-04-26T16:16:36.970837,56.9,5.0,8.8,54.2
2026-04-26T16:16:37.973443,68.7,1.0,0.0,71.7
2026-04-26T16:16:38.973898,45.5,1.0,1.0,45.4
2026-04-26T16:16:39.974284,5.0,0.0,1.0,5.0
2026-04-26T16:16:40.975220,33.0,0.0,0.0,33.7
2026-04-26T16:16:41.976390,56.0,0.0,0.0,54.1
2026-04-26T16:16:42.977885,53.6,0.0,1.0,54.0
2026-04-26T16:16:43.979238,58.6,0.0,1.0,55.3
2026-04-26T16:16:44.980680,7.9,0.0,2.0,6.1
2026-04-26T16:16:45.982234,38.8,61.4,17.3,15.6
2026-04-26T16:16:46.985300,33.0,45.4,41.1,54.2
2026-04-26T16:16:47.989523,49.0,38.4,48.5,40.0
2026-04-26T16:16:48.996228,44.3,44.6,58.4,44.6
2026-04-26T16:16:50.004169,54.0,41.0,43.6,40.0
2026-04-26T16:16:51.011382,44.9,44.7,58.6,43.4
2026-04-26T16:16:52.031707,38.6,41.6,51.9,45.5
2026-04-26T16:16:53.043692,37.9,42.4,51.0,43.4
2026-04-26T16:16:54.081581,43.4,43.1,48.0,40.4
2026-04-26T16:16:55.092547,40.2,43.4,51.0,39.4
2026-04-26T16:16:56.102576,41.7,39.4,45.0,45.3
2026-04-26T16:16:57.107261,22.4,17.3,29.7,35.6
2026-04-26T16:16:58.108405,0.0,0.0,0.0,0.0
2026-04-26T16:16:59.129781,0.0,0.0,0.0,10.9
2026-04-26T16:17:00.155666,30.4,35.6,38.8,36.8
2026-04-26T16:17:01.181774,42.0,42.4,45.5,51.4
2026-04-26T16:17:02.203795,52.1,42.0,39.0,41.0
2026-04-26T16:17:03.216124,43.0,57.7,48.5,39.2
2026-04-26T16:17:04.233669,42.4,41.6,50.5,49.0
2026-04-26T16:17:05.248595,52.6,42.0,42.0,43.3
2026-04-26T16:17:06.254064,53.8,38.7,38.1,40.8
2026-04-26T16:17:07.263879,38.8,52.5,42.9,43.3
2026-04-26T16:17:08.274303,43.6,46.9,50.5,44.2
2026-04-26T16:17:09.277657,8.9,11.0,27.6,11.9
2026-04-26T16:17:10.279045,0.0,0.0,0.0,0.0
2026-04-26T16:17:11.280683,0.0,0.0,0.0,0.0
2026-04-26T16:17:12.283211,22.8,4.0,4.0,5.9
2026-04-26T16:17:13.293560,26.0,40.2,52.0,33.7
2026-04-26T16:17:14.300126,33.3,61.5,32.7,50.5
2026-04-26T16:17:15.309468,55.8,38.6,36.9,34.3
2026-04-26T16:17:16.320163,38.0,44.9,37.5,51.0
2026-04-26T16:17:17.333201,37.5,38.4,53.1,39.6
2026-04-26T16:17:18.341776,43.1,44.0,55.3,43.1
2026-04-26T16:17:19.354803,44.3,46.5,49.5,42.2
2026-04-26T16:17:20.367878,43.6,53.0,44.6,45.5
2026-04-26T16:17:21.384319,45.6,45.8,44.8,47.0
2026-04-26T16:17:22.387027,24.5,16.2,18.8,38.9
2026-04-26T16:17:23.388462,0.0,1.0,0.0,0.0
2026-04-26T16:17:24.390127,0.0,1.0,0.0,1.0
2026-04-26T16:17:25.392474,9.0,10.0,9.0,27.0
