timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-29T15:52:39.517724,51.5,47.5,42.4,38.0,63.0,62.6,35.6,26.0
2026-04-29T15:52:40.533895,53.0,53.0,45.0,36.0,67.3,61.2,42.4,23.0
2026-04-29T15:52:41.542625,61.6,57.0,53.1,47.5,48.5,30.0,19.0,5.9
2026-04-29T15:52:42.549915,75.3,72.2,65.0,62.0,39.8,21.2,16.2,12.1
2026-04-29T15:52:43.556647,51.5,41.6,37.4,31.3,24.0,29.0,11.9,9.8
2026-04-29T15:52:44.562083,61.2,56.7,46.9,43.0,40.4,17.3,15.2,8.0
2026-04-29T15:52:45.573512,71.7,70.0,57.0,53.1,36.7,13.9,12.7,7.0
2026-04-29T15:52:46.588000,52.5,49.5,32.3,32.0,29.0,18.0,12.9,9.9
2026-04-29T15:52:47.603547,60.6,52.0,43.6,39.4,31.2,30.0,15.0,8.0
2026-04-29T15:52:48.608068,64.6,62.2,53.1,45.0,29.3,14.1,9.0,8.9
2026-04-29T15:52:49.613582,57.7,54.1,43.4,37.8,43.3,21.0,17.0,14.0
2026-04-29T15:52:50.624322,49.0,49.5,36.0,34.0,25.7,16.7,10.9,7.9
2026-04-29T15:52:51.632702,40.4,36.0,28.6,24.2,38.8,29.6,21.2,14.1
2026-04-29T15:52:52.638469,68.4,67.0,58.2,54.1,40.6,24.0,18.0,15.8
2026-04-29T15:52:53.644115,76.5,76.0,72.0,64.6,27.8,0.0,0.0,0.0
2026-04-29T15:52:54.649422,54.0,51.5,44.4,43.4,15.3,22.2,5.9,2.9
2026-04-29T15:52:55.658865,54.5,50.0,42.0,37.0,35.7,19.0,13.9,7.1
2026-04-29T15:52:56.669405,51.0,43.9,34.3,29.0,34.0,18.8,12.0,10.0
2026-04-29T15:52:57.674733,62.2,57.1,46.5,41.8,34.7,12.1,8.9,12.9
2026-04-29T15:52:58.676042,51.5,59.6,52.5,40.0,22.7,29.3,11.1,6.1
2026-04-29T15:52:59.678361,60.2,53.6,41.8,36.4,37.1,15.0,11.0,8.0
2026-04-29T15:53:00.684801,59.8,55.1,44.9,37.8,35.7,15.0,9.0,9.9
2026-04-29T15:53:01.686733,46.5,39.4,28.3,27.3,29.6,19.2,12.0,8.0
2026-04-29T15:53:02.690451,47.5,42.4,39.4,38.0,32.7,25.5,16.2,10.0
2026-04-29T15:53:03.694985,80.8,77.6,77.6,74.5,34.7,13.9,11.0,7.0
2026-04-29T15:53:04.696418,73.5,69.4,65.7,62.6,35.8,14.1,12.0,11.0
2026-04-29T15:53:05.702074,64.6,59.6,52.5,50.0,25.3,24.0,16.0,16.8
2026-04-29T15:53:06.708143,40.2,34.3,25.0,19.0,24.7,19.2,2.0,0.0
2026-04-29T15:53:07.712201,58.8,49.0,38.8,31.3,29.9,2.0,4.0,1.0
2026-04-29T15:53:08.712911,72.4,70.4,63.3,63.3,36.1,12.0,8.1,7.9
2026-04-29T15:53:09.722696,76.2,73.3,66.3,59.6,25.7,19.8,8.9,5.1
2026-04-29T15:53:10.724387,48.5,44.4,37.8,34.3,29.2,35.1,11.0,8.9
2026-04-29T15:53:11.728864,62.2,58.2,48.0,32.0,38.1,15.0,10.0,11.1
2026-04-29T15:53:12.734059,65.3,60.6,54.5,43.0,38.8,12.1,10.9,7.9
2026-04-29T15:53:13.737812,60.6,55.6,49.0,43.4,20.2,24.2,12.1,10.9
2026-04-29T15:53:14.740299,62.0,60.0,58.6,54.1,41.2,17.2,14.0,7.1
2026-04-29T15:53:15.745776,75.5,72.7,67.7,60.0,33.7,17.8,11.0,6.9
2026-04-29T15:53:16.747304,69.7,67.3,62.2,58.0,39.2,14.1,11.0,7.1
2026-04-29T15:53:17.750405,47.5,41.8,30.3,26.5,26.3,33.3,13.0,11.0
2026-04-29T15:53:18.756536,76.8,73.0,71.0,69.7,43.3,21.0,19.0,15.8
2026-04-29T15:53:19.759347,73.5,70.4,65.3,56.0,28.9,0.0,0.0,0.0
2026-04-29T15:53:20.763238,73.5,73.7,63.0,55.6,19.4,6.0,5.0,3.0
2026-04-29T15:53:21.768653,53.0,52.0,46.5,39.0,35.4,32.7,17.0,10.0
2026-04-29T15:53:22.770781,69.7,67.7,61.6,55.6,38.8,11.1,9.1,10.0
2026-04-29T15:53:23.774727,79.6,76.8,72.4,65.3,42.9,16.0,10.0,7.0
2026-04-29T15:53:24.778000,51.5,46.5,45.5,35.0,20.8,31.6,9.0,9.0
2026-04-29T15:53:25.781240,64.6,58.8,49.5,34.3,39.4,14.1,10.9,9.0
2026-04-29T15:53:26.781768,63.9,56.1,45.5,30.6,36.5,14.0,14.1,7.0
2026-04-29T15:53:27.786264,63.6,57.6,35.4,27.7,24.2,19.0,11.0,7.9
2026-04-29T15:53:28.787845,52.5,50.0,50.0,43.4,38.8,22.4,13.1,9.1
2026-04-29T15:53:29.799637,67.3,64.6,60.0,53.5,33.7,12.7,6.9,7.9
2026-04-29T15:53:30.807053,60.2,56.7,42.9,38.8,39.8,18.2,16.0,14.9
2026-04-29T15:53:31.812204,39.4,33.0,32.0,26.7,30.6,37.0,22.0,15.2
