timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-18T12:33:39.602486,34.7,30.3,29.0,27.0,68.0,62.2,50.0,32.0
2026-04-18T12:33:40.624447,35.7,32.3,27.6,25.3,70.1,67.3,57.6,45.5
2026-04-18T12:33:41.629715,33.3,30.6,28.0,23.2,58.0,46.5,29.6,17.3
2026-04-18T12:33:42.635727,37.4,34.0,31.0,29.3,61.2,61.2,54.0,40.4
2026-04-18T12:33:43.651852,39.4,31.3,30.0,25.5,67.0,59.0,47.5,35.6
2026-04-18T12:33:44.652530,39.4,32.7,26.8,25.8,65.3,58.2,42.4,32.7
2026-04-18T12:33:45.656120,37.8,35.0,30.0,28.0,63.3,56.6,45.5,36.0
2026-04-18T12:33:46.666171,42.3,34.3,31.3,27.3,69.0,62.2,49.5,39.4
2026-04-18T12:33:47.680808,34.7,32.7,29.6,26.0,69.7,65.3,55.1,44.0
2026-04-18T12:33:48.688483,37.0,31.7,28.3,26.3,57.1,48.0,36.0,28.3
2026-04-18T12:33:49.702593,34.7,29.0,29.0,25.3,46.5,43.4,28.6,20.0
2026-04-18T12:33:50.713867,40.6,33.7,28.0,28.7,49.0,33.3,26.0,19.8
2026-04-18T12:33:51.717814,39.8,38.0,31.3,28.3,46.0,33.0,26.0,19.2
2026-04-18T12:33:52.723278,38.4,31.3,31.3,31.0,26.8,27.3,5.0,2.0
2026-04-18T12:33:53.727289,45.5,42.4,38.4,34.3,32.3,7.1,3.0,2.0
2026-04-18T12:33:54.732429,48.0,49.5,43.0,41.4,39.8,12.0,10.0,10.0
2026-04-18T12:33:55.740944,35.6,35.0,31.0,29.7,32.3,30.3,33.0,18.0
2026-04-18T12:33:56.755844,39.8,36.1,31.0,29.6,62.0,54.5,43.4,34.0
2026-04-18T12:33:57.758871,41.8,36.4,32.3,29.3,70.1,64.0,51.5,43.9
2026-04-18T12:33:58.760762,42.9,40.4,36.7,36.0,69.7,60.6,48.0,40.4
2026-04-18T12:33:59.766429,38.8,33.3,32.0,29.3,67.7,65.3,52.6,38.0
2026-04-18T12:34:00.772362,39.0,34.7,32.3,29.3,66.0,59.2,47.5,35.4
2026-04-18T12:34:01.775763,39.2,35.4,29.3,28.6,58.6,46.0,35.0,26.3
2026-04-18T12:34:02.783164,30.0,28.3,27.0,25.7,43.0,38.4,27.0,23.0
2026-04-18T12:34:03.788105,33.7,31.3,26.5,24.2,48.5,40.8,31.3,20.8
2026-04-18T12:34:04.790916,35.7,31.3,28.3,26.0,50.0,31.3,23.0,20.2
