timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-06-23T17:49:50.334323,4.0,0.0,2.0,1.0
2026-06-23T17:49:51.334921,0.0,0.0,0.0,0.0
2026-06-23T17:49:52.335292,11.1,2.0,0.0,5.0
2026-06-23T17:49:53.335703,2.0,0.0,5.0,5.0
2026-06-23T17:49:54.336108,1.0,0.0,3.0,3.0
2026-06-23T17:49:55.336501,0.0,0.0,4.0,5.9
2026-06-23T17:49:56.336966,1.0,1.0,4.0,4.0
2026-06-23T17:49:57.337425,3.0,5.0,36.0,32.7
2026-06-23T17:49:58.337864,2.0,1.0,4.0,5.0
2026-06-23T17:49:59.338255,3.0,1.0,2.0,2.0
2026-06-23T17:50:00.338694,3.0,1.0,5.0,4.0
2026-06-23T17:50:01.339127,0.0,2.0,4.0,4.0
2026-06-23T17:50:02.339646,0.0,1.0,6.9,5.0
2026-06-23T17:50:03.340228,4.0,2.0,3.0,6.0
2026-06-23T17:50:04.340688,3.0,4.9,18.2,21.6
2026-06-23T17:50:05.341095,16.0,3.0,16.8,28.0
2026-06-23T17:50:06.341477,18.2,6.1,14.9,26.0
2026-06-23T17:50:07.341855,16.0,6.0,2.0,13.0
2026-06-23T17:50:08.342233,4.0,3.0,0.0,3.0
2026-06-23T17:50:09.342700,5.0,3.0,0.0,3.0
2026-06-23T17:50:10.343236,5.0,5.0,2.0,3.0
2026-06-23T17:50:11.343775,6.1,2.0,2.0,3.0
2026-06-23T17:50:12.344379,3.0,2.0,6.9,4.0
2026-06-23T17:50:13.344965,6.0,1.0,1.0,5.0
2026-06-23T17:50:14.345469,6.0,2.0,6.9,1.0
2026-06-23T17:50:15.346031,6.0,2.0,4.0,2.0
2026-06-23T17:50:16.346605,4.0,0.0,3.0,3.0
2026-06-23T17:50:17.347154,6.1,1.0,7.0,1.0
2026-06-23T17:50:18.347747,6.0,4.0,2.0,1.0
2026-06-23T17:50:19.348335,5.0,2.0,4.9,3.0
2026-06-23T17:50:20.348866,0.0,3.0,6.1,6.1
2026-06-23T17:50:21.349479,3.0,1.0,5.0,7.0
2026-06-23T17:50:22.350142,5.0,5.0,1.0,3.0
2026-06-23T17:50:23.350747,5.0,8.0,0.0,2.0
2026-06-23T17:50:24.351331,1.0,6.1,0.0,6.0
2026-06-23T17:50:25.351833,18.0,8.0,0.0,21.6
2026-06-23T17:50:26.352273,2.0,5.9,1.0,1.0
2026-06-23T17:50:27.352693,4.0,5.0,0.0,2.0
2026-06-23T17:50:28.353144,2.0,2.0,1.0,0.0
2026-06-23T17:50:29.353610,4.0,4.0,3.0,1.0
2026-06-23T17:50:30.354202,6.0,4.0,2.0,0.0
2026-06-23T17:50:31.354835,5.0,5.9,3.0,0.0
2026-06-23T17:50:32.355465,5.1,5.1,3.0,0.0
2026-06-23T17:50:33.356015,0.0,6.0,3.0,4.0
2026-06-23T17:50:34.356507,6.9,6.9,31.0,29.7
2026-06-23T17:50:35.356980,3.0,18.2,18.8,25.3
2026-06-23T17:50:36.357463,3.0,0.0,4.0,2.0
2026-06-23T17:50:37.357938,2.0,3.0,1.0,4.0
2026-06-23T17:50:38.358357,1.0,0.0,3.1,4.0
2026-06-23T17:50:39.358848,0.0,3.0,4.0,2.0
2026-06-23T17:50:40.359493,5.0,3.1,4.0,2.0
2026-06-23T17:50:41.360102,4.0,5.9,2.0,2.0
2026-06-23T17:50:42.360656,6.9,6.0,2.0,0.0
2026-06-23T17:50:43.361270,8.0,2.0,2.0,2.0
2026-06-23T17:50:44.361778,21.2,3.0,2.0,20.2
2026-06-23T17:50:45.362163,3.0,1.0,1.0,5.0
2026-06-23T17:50:46.362593,5.0,1.0,1.0,4.0
2026-06-23T17:50:47.363045,3.0,3.0,1.0,0.0
2026-06-23T17:50:48.363472,1.0,5.0,4.0,0.0
2026-06-23T17:50:49.363965,4.0,2.0,4.0,1.0
2026-06-23T17:50:50.364492,3.0,3.0,5.9,3.0
2026-06-23T17:50:51.365054,2.0,2.0,5.1,4.0
