Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-29T18:15:59.860960,  0.0,05.1091,0.72612,03.7032
2026-04-29T18:16:00.879912,  1.0,05.1064,0.86606,04.4169
2026-04-29T18:16:01.856555,  2.0,05.1089,0.80268,04.0936
2026-04-29T18:16:02.875425,  3.0,05.1084,0.84516,04.3103
2026-04-29T18:16:03.852600,  4.0,05.1083,0.80600,04.1106
2026-04-29T18:16:04.873922,  5.0,05.1083,0.80756,04.1185
2026-04-29T18:16:05.850064,  6.0,05.1084,0.88107,04.4934
2026-04-29T18:16:06.873859,  7.0,05.1084,0.93019,04.7439
2026-04-29T18:16:07.849974,  8.0,05.1087,0.86968,04.4353
2026-04-29T18:16:08.872775,  9.0,05.1085,0.92648,04.7250
2026-04-29T18:16:09.849532, 10.0,05.1105,0.86624,04.4264
2026-04-29T18:16:10.869625, 11.0,05.1105,0.95884,04.8996
2026-04-29T18:16:11.842263, 12.0,05.1120,0.93267,04.7659
2026-04-29T18:16:12.864155, 13.0,05.1086,0.92619,04.7235
2026-04-29T18:16:13.884775, 14.0,05.1089,0.92008,04.6924
2026-04-29T18:16:14.859108, 15.0,05.1086,0.81761,04.1698
2026-04-29T18:16:15.880577, 16.0,05.1076,0.93935,04.7906
2026-04-29T18:16:16.857877, 17.0,05.1078,0.93984,04.7931
2026-04-29T18:16:17.879694, 18.0,05.1159,1.00796,05.1506
2026-04-29T18:16:18.856361, 19.0,05.0916,1.02381,05.2111
2026-04-29T18:16:19.881370, 20.0,05.1050,1.08020,05.5090
2026-04-29T18:16:20.856635, 21.0,05.1105,1.20124,06.1383
2026-04-29T18:16:21.879124, 22.0,05.1076,1.04383,05.3235
2026-04-29T18:16:22.857362, 23.0,05.1108,1.05896,05.4112
2026-04-29T18:16:23.880107, 24.0,05.1078,1.05909,05.4013
2026-04-29T18:16:24.855669, 25.0,05.1041,1.00731,05.1372
2026-04-29T18:16:25.876748, 26.0,05.1131,1.32553,06.7734
2026-04-29T18:16:26.854388, 27.0,05.0880,1.24143,06.3064
2026-04-29T18:16:27.876397, 28.0,05.1028,1.28955,06.5767
2026-04-29T18:16:28.852409, 29.0,05.1001,0.81366,04.1496
2026-04-29T18:16:29.874312, 30.0,05.1076,0.74373,03.7930
2026-04-29T18:16:30.852172, 31.0,05.1076,0.74240,03.7862
2026-04-29T18:16:31.872455, 32.0,05.1076,0.75658,03.8585
2026-04-29T18:16:32.848507, 33.0,05.1076,0.98989,05.0484
2026-04-29T18:16:33.868949, 34.0,05.1086,1.01183,05.1603
2026-04-29T18:16:34.889257, 35.0,05.1075,1.05484,05.3796
2026-04-29T18:16:35.863744, 36.0,05.1041,1.32877,06.7767
2026-04-29T18:16:36.884930, 37.0,05.1094,1.13109,05.7685
2026-04-29T18:16:37.859736, 38.0,05.1058,1.08657,05.5415
2026-04-29T18:16:38.884496, 39.0,05.1095,1.02847,05.2451
2026-04-29T18:16:39.860625, 40.0,05.1072,0.98465,05.0217
2026-04-29T18:16:40.881942, 41.0,05.1078,1.04138,05.3110
2026-04-29T18:16:41.858205, 42.0,05.1030,1.03903,05.2990
2026-04-29T18:16:42.879140, 43.0,05.1045,1.50952,07.6985
2026-04-29T18:16:43.852781, 44.0,05.1008,1.12202,05.7223
2026-04-29T18:16:44.873051, 45.0,05.1098,0.74831,03.8163
2026-04-29T18:16:45.848432, 46.0,05.1098,0.74771,03.8133
2026-04-29T18:16:46.867924, 47.0,05.1098,0.74526,03.8008
2026-04-29T18:16:47.888233, 48.0,05.1087,1.07655,05.4904
2026-04-29T18:16:48.861534, 49.0,05.1081,1.01992,05.2015
2026-04-29T18:16:49.879486, 50.0,05.1117,1.14099,05.8304
2026-04-29T18:16:50.851058, 51.0,05.1095,1.04059,05.3070
2026-04-29T18:16:51.870275, 52.0,05.0975,1.19209,06.0677
2026-04-29T18:16:52.891978, 53.0,05.1047,1.05306,05.3706
2026-04-29T18:16:53.865456, 54.0,05.1128,1.03379,05.2826
2026-04-29T18:16:54.885111, 55.0,05.1086,1.05826,05.3971
2026-04-29T18:16:55.859332, 56.0,05.1047,1.11663,05.6948
2026-04-29T18:16:56.880528, 57.0,05.1064,1.16386,05.9356
2026-04-29T18:16:57.858652, 58.0,05.1092,1.17844,06.0100
2026-04-29T18:16:58.876343, 59.0,05.0995,1.39308,07.0907
2026-04-29T18:16:59.851997, 60.0,05.1092,0.75250,03.8377
2026-04-29T18:17:00.872222, 61.0,05.1087,0.75150,03.8326
2026-04-29T18:17:01.891860, 62.0,05.1088,0.77172,03.9357
2026-04-29T18:17:02.869065, 63.0,05.0981,1.07223,05.4576
2026-04-29T18:17:03.889547, 64.0,05.1166,1.09967,05.6193
2026-04-29T18:17:04.864430, 65.0,05.1119,1.10622,05.6527
2026-04-29T18:17:05.885557, 66.0,05.1091,1.07114,05.4628
2026-04-29T18:17:06.861146, 67.0,05.1053,1.02103,05.2072
2026-04-29T18:17:07.881538, 68.0,05.1116,1.08548,05.5468
2026-04-29T18:17:08.857607, 69.0,05.0956,1.02323,05.2082
2026-04-29T18:17:09.879175, 70.0,05.1087,1.12342,05.7294
2026-04-29T18:17:10.854604, 71.0,05.1006,1.05463,05.3786
2026-04-29T18:17:11.874749, 72.0,05.1103,1.08296,05.5339
2026-04-29T18:17:12.897051, 73.0,05.1041,1.09692,05.5942
2026-04-29T18:17:13.872650, 74.0,05.0962,1.16228,05.9160
2026-04-29T18:17:14.894393, 75.0,05.1125,0.91574,04.6794
2026-04-29T18:17:15.867215, 76.0,05.1091,0.76782,03.9158
2026-04-29T18:17:16.889506, 77.0,05.1085,0.76839,03.9187
2026-04-29T18:17:17.864026, 78.0,05.1087,0.68780,03.5077
2026-04-29T18:17:18.886190, 79.0,05.1051,1.00373,05.1190
2026-04-29T18:17:19.864398, 80.0,05.1080,1.03621,05.2846
2026-04-29T18:17:20.887674, 81.0,05.1053,0.99001,05.0490
2026-04-29T18:17:21.865511, 82.0,05.1056,1.23510,06.2990
2026-04-29T18:17:22.889221, 83.0,05.1080,1.18222,06.0293
2026-04-29T18:17:23.866221, 84.0,05.1112,1.31718,06.7307
2026-04-29T18:17:24.892666, 85.0,05.1075,0.99293,05.0639
2026-04-29T18:17:25.871856, 86.0,05.1026,1.02224,05.2134
2026-04-29T18:17:26.895260, 87.0,05.1026,1.08206,05.5185
2026-04-29T18:17:27.871605, 88.0,05.1050,1.23978,06.3228
2026-04-29T18:17:28.894459, 89.0,05.1011,1.52966,07.8012
2026-04-29T18:17:29.870615, 90.0,05.1011,1.01863,05.1950
2026-04-29T18:17:30.893544, 91.0,05.1084,0.76703,03.9118
2026-04-29T18:17:31.870116, 92.0,05.1084,0.76625,03.9078
2026-04-29T18:17:32.892950, 93.0,05.1070,0.74793,03.8144
2026-04-29T18:17:33.872645, 94.0,05.1042,1.01126,05.1574
2026-04-29T18:17:34.896054, 95.0,05.1109,1.12118,05.7292
2026-04-29T18:17:35.871549, 96.0,05.0998,1.13804,05.7926
2026-04-29T18:17:36.893337, 97.0,05.1067,1.02349,05.2197
2026-04-29T18:17:37.868876, 98.0,05.1069,1.05458,05.3783
2026-04-29T18:17:38.891959, 99.0,05.1069,1.11667,05.6950
2026-04-29T18:17:39.868339,100.0,05.1080,1.03148,05.2605
2026-04-29T18:17:40.891633,101.0,05.1077,1.06917,05.4527
2026-04-29T18:17:41.868718,102.0,05.1079,1.06461,05.4295
2026-04-29T18:17:42.891855,103.0,05.1075,1.15739,05.9026
2026-04-29T18:17:43.867663,104.0,05.0994,1.05798,05.3851
