Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-05-27T14:07:48.992947,  0.0,05.1081,0.74170,03.7826
2026-05-27T14:07:50.013295,  1.0,05.1081,0.88450,04.5109
2026-05-27T14:07:50.990313,  2.0,05.1083,0.80242,04.0923
2026-05-27T14:07:52.011112,  3.0,05.1081,0.80041,04.0820
2026-05-27T14:07:53.031963,  4.0,05.1082,0.81588,04.1609
2026-05-27T14:07:54.005384,  5.0,05.1078,0.81584,04.1607
2026-05-27T14:07:55.026587,  6.0,05.1080,0.85508,04.3609
2026-05-27T14:07:56.002069,  7.0,05.1109,0.90237,04.6111
2026-05-27T14:07:57.024515,  8.0,05.1044,0.85168,04.3435
2026-05-27T14:07:57.999733,  9.0,05.1128,0.89199,04.5580
2026-05-27T14:07:59.018653, 10.0,05.1081,0.88697,04.5235
2026-05-27T14:07:59.993271, 11.0,05.1056,0.92773,04.7314
2026-05-27T14:08:01.010655, 12.0,05.1133,0.97370,04.9756
2026-05-27T14:08:02.031065, 13.0,05.1075,0.93902,04.7890
2026-05-27T14:08:03.007164, 14.0,05.1105,0.92763,04.7401
2026-05-27T14:08:04.025835, 15.0,05.1077,0.88168,04.4965
2026-05-27T14:08:05.001123, 16.0,05.1070,0.94835,04.8365
2026-05-27T14:08:06.019102, 17.0,05.1077,1.00038,05.1019
2026-05-27T14:08:07.035010, 18.0,05.0953,1.39506,07.1008
2026-05-27T14:08:08.012404, 19.0,05.1111,1.07655,05.5011
2026-05-27T14:08:09.032881, 20.0,05.1169,1.16551,05.9557
2026-05-27T14:08:10.009106, 21.0,05.1069,1.13434,05.7851
2026-05-27T14:08:11.031729, 22.0,05.1048,1.07141,05.4641
2026-05-27T14:08:12.006507, 23.0,05.1101,0.99920,05.1059
2026-05-27T14:08:13.029701, 24.0,05.1112,1.17833,06.0212
2026-05-27T14:08:14.003650, 25.0,05.1112,1.18852,06.0733
2026-05-27T14:08:15.026974, 26.0,05.1085,1.06053,05.4087
2026-05-27T14:08:16.004984, 27.0,05.1086,1.14938,05.8618
2026-05-27T14:08:17.026712, 28.0,05.1073,0.74938,03.8218
2026-05-27T14:08:18.002247, 29.0,05.1085,0.74737,03.8115
2026-05-27T14:08:19.022398, 30.0,05.1083,0.74386,03.7936
2026-05-27T14:08:19.998782, 31.0,05.1082,1.15992,05.9155
2026-05-27T14:08:21.017846, 32.0,05.1008,0.93219,04.7541
2026-05-27T14:08:21.993787, 33.0,05.1089,1.20506,06.1458
2026-05-27T14:08:23.016596, 34.0,05.1105,1.08800,05.5596
2026-05-27T14:08:24.038248, 35.0,05.1045,1.16029,05.9174
2026-05-27T14:08:25.015648, 36.0,05.1139,1.03533,05.2905
2026-05-27T14:08:26.036610, 37.0,05.1117,1.15924,05.9237
2026-05-27T14:08:27.011942, 38.0,05.1005,1.03970,05.3024
2026-05-27T14:08:28.034621, 39.0,05.1150,1.07195,05.4776
2026-05-27T14:08:29.009734, 40.0,05.1095,1.04018,05.3049
2026-05-27T14:08:30.029325, 41.0,05.1145,1.12368,05.7420
2026-05-27T14:08:31.003414, 42.0,05.1083,0.75408,03.8458
2026-05-27T14:08:32.023733, 43.0,05.1081,0.60568,03.0889
2026-05-27T14:08:32.998052, 44.0,05.1084,0.62043,03.1641
2026-05-27T14:08:34.016567, 45.0,05.1044,1.01861,05.1949
2026-05-27T14:08:35.038931, 46.0,05.1034,1.19663,06.1028
2026-05-27T14:08:36.012980, 47.0,05.1159,1.10589,05.6510
2026-05-27T14:08:37.030342, 48.0,05.1087,1.02109,05.2075
2026-05-27T14:08:38.003038, 49.0,05.1089,1.02620,05.2336
2026-05-27T14:08:39.022002, 50.0,05.1120,1.05545,05.3933
2026-05-27T14:08:39.996412, 51.0,05.1058,1.00461,05.1235
2026-05-27T14:08:41.018643, 52.0,05.0989,1.08761,05.5359
2026-05-27T14:08:42.039781, 53.0,05.1094,1.21278,06.1851
2026-05-27T14:08:43.015801, 54.0,05.1011,1.04286,05.3185
2026-05-27T14:08:44.034958, 55.0,05.1071,1.22205,06.2324
2026-05-27T14:08:45.008810, 56.0,05.1089,0.77434,03.9491
2026-05-27T14:08:46.027261, 57.0,05.1089,0.76380,03.8953
2026-05-27T14:08:47.002184, 58.0,05.1083,0.74887,03.8192
2026-05-27T14:08:48.022165, 59.0,05.0966,1.03515,05.2689
2026-05-27T14:08:49.042700, 60.0,05.1073,1.00076,05.1038
2026-05-27T14:08:50.016589, 61.0,05.1119,1.09431,05.5919
2026-05-27T14:08:51.037595, 62.0,05.1085,1.11007,05.6613
2026-05-27T14:08:52.013739, 63.0,05.1058,1.08152,05.5157
2026-05-27T14:08:53.035941, 64.0,05.1098,0.98425,05.0196
2026-05-27T14:08:54.014113, 65.0,05.1101,1.11032,05.6737
2026-05-27T14:08:55.037289, 66.0,05.1022,1.15633,05.8972
2026-05-27T14:08:56.012936, 67.0,05.1100,1.08420,05.5402
2026-05-27T14:08:57.036765, 68.0,05.1009,1.07092,05.4616
2026-05-27T14:08:58.011224, 69.0,05.1128,1.04914,05.3611
2026-05-27T14:08:59.032299, 70.0,05.1081,0.64785,03.3040
2026-05-27T14:09:00.003998, 71.0,05.1081,0.62115,03.1678
2026-05-27T14:09:01.021657, 72.0,05.1096,0.62053,03.1647
2026-05-27T14:09:02.044652, 73.0,05.1144,1.03184,05.2727
2026-05-27T14:09:03.021483, 74.0,05.1059,1.04872,05.3484
2026-05-27T14:09:04.042688, 75.0,05.1072,1.10379,05.6293
2026-05-27T14:09:05.020862, 76.0,05.1175,1.08476,05.5431
2026-05-27T14:09:06.043004, 77.0,05.1059,1.01705,05.1869
2026-05-27T14:09:07.017818, 78.0,05.1131,1.20333,06.1490
2026-05-27T14:09:08.039373, 79.0,05.1080,1.19723,06.1058
2026-05-27T14:09:09.015125, 80.0,05.1100,1.02196,05.2222
2026-05-27T14:09:10.038921, 81.0,05.1134,1.01006,05.1614
2026-05-27T14:09:11.016016, 82.0,05.1066,1.16995,05.9667
2026-05-27T14:09:12.037423, 83.0,05.1156,1.05051,05.3681
2026-05-27T14:09:13.014448, 84.0,05.1094,0.77122,03.9332
2026-05-27T14:09:14.036008, 85.0,05.1094,0.79918,04.0758
2026-05-27T14:09:15.010808, 86.0,05.1102,0.76674,03.9180
2026-05-27T14:09:16.031975, 87.0,05.1042,1.05601,05.3856
2026-05-27T14:09:17.009229, 88.0,05.1003,1.02562,05.2306
2026-05-27T14:09:18.034865, 89.0,05.1095,1.15661,05.8987
2026-05-27T14:09:19.014646, 90.0,05.1095,1.06543,05.4336
2026-05-27T14:09:20.039316, 91.0,05.1098,1.06049,05.4084
2026-05-27T14:09:21.013119, 92.0,05.1069,0.98276,05.0120
2026-05-27T14:09:22.034300, 93.0,05.1091,1.05987,05.4053
2026-05-27T14:09:23.012507, 94.0,05.1083,1.02582,05.2316
2026-05-27T14:09:24.033989, 95.0,05.1133,1.14901,05.8714
2026-05-27T14:09:25.009198, 96.0,05.1078,1.03655,05.2864
2026-05-27T14:09:26.030426, 97.0,05.1101,1.10084,05.6252
2026-05-27T14:09:27.006852, 98.0,05.1094,0.73421,03.7444
2026-05-27T14:09:28.024761, 99.0,05.1096,0.62523,03.1886
2026-05-27T14:09:29.041254,100.0,05.1095,0.62080,03.1660
2026-05-27T14:09:30.013868,101.0,05.1098,0.99689,05.0841
2026-05-27T14:09:31.036213,102.0,05.1101,1.12389,05.7430
2026-05-27T14:09:32.012960,103.0,05.1137,1.11677,05.7066
2026-05-27T14:09:33.037710,104.0,05.1076,1.05231,05.3667
2026-05-27T14:09:34.012938,105.0,05.1070,1.01818,05.1927
2026-05-27T14:09:35.034210,106.0,05.1067,1.04635,05.3363
2026-05-27T14:09:36.009508,107.0,05.1069,1.04902,05.3500
2026-05-27T14:09:37.030734,108.0,05.1042,1.06238,05.4181
2026-05-27T14:09:38.009228,109.0,05.1122,1.19218,06.0920
2026-05-27T14:09:39.031123,110.0,05.1100,1.04676,05.3489
2026-05-27T14:09:40.009750,111.0,05.1144,1.08359,05.5371
2026-05-27T14:09:41.030450,112.0,05.1109,0.77197,03.9447
2026-05-27T14:09:42.051276,113.0,05.1106,0.77004,03.9349
2026-05-27T14:09:43.023869,114.0,05.1098,0.76000,03.8760
