timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-04-29T17:51:54.254526,4.0,95.0,4.0,4.9
2026-04-29T17:51:55.259754,10.1,73.0,11.9,30.3
2026-04-29T17:51:56.275670,0.0,0.0,0.0,99.0
2026-04-29T17:51:57.276463,1.0,0.0,1.0,53.5
2026-04-29T17:51:58.277004,0.0,0.0,0.0,3.0
2026-04-29T17:51:59.277616,0.0,0.0,0.0,80.2
2026-04-29T17:52:00.278718,0.0,62.4,0.0,36.6
2026-04-29T17:52:01.279970,22.8,45.5,21.0,49.0
2026-04-29T17:52:02.280764,18.9,58.6,48.0,18.6
2026-04-29T17:52:03.282077,20.0,20.6,89.8,19.6
2026-04-29T17:52:04.283975,48.0,16.2,61.0,17.3
2026-04-29T17:52:05.286612,22.8,33.3,70.7,22.0
2026-04-29T17:52:06.288911,38.4,18.8,68.6,24.8
2026-04-29T17:52:07.292831,19.6,62.0,45.8,21.0
2026-04-29T17:52:08.295035,86.9,21.2,18.0,16.5
2026-04-29T17:52:09.296971,48.5,38.5,36.0,30.3
2026-04-29T17:52:10.298230,24.5,19.8,85.0,18.6
2026-04-29T17:52:11.299144,18.8,52.0,32.0,16.5
2026-04-29T17:52:12.299434,0.0,0.0,0.0,0.0
2026-04-29T17:52:13.299703,0.0,0.0,0.0,0.0
2026-04-29T17:52:14.301584,2.0,16.8,2.0,2.0
2026-04-29T17:52:15.302181,74.0,25.3,33.3,25.8
2026-04-29T17:52:16.303198,19.0,21.0,87.1,19.2
2026-04-29T17:52:17.304701,39.4,73.0,21.0,20.8
2026-04-29T17:52:18.305688,83.5,27.0,20.6,14.0
2026-04-29T17:52:19.308558,46.9,18.2,59.6,18.6
2026-04-29T17:52:20.311334,39.2,43.7,47.0,22.3
2026-04-29T17:52:21.314234,44.8,16.3,60.2,19.6
2026-04-29T17:52:22.318299,19.2,27.8,56.7,41.0
2026-04-29T17:52:23.320933,56.1,20.4,37.4,29.7
2026-04-29T17:52:24.325573,24.0,66.0,22.2,27.7
2026-04-29T17:52:25.326914,10.1,15.2,22.7,24.8
2026-04-29T17:52:26.328071,0.0,0.0,0.0,0.0
2026-04-29T17:52:27.329233,0.0,0.0,0.0,0.0
2026-04-29T17:52:28.330843,10.9,14.9,10.9,41.6
2026-04-29T17:52:29.332973,35.4,26.3,69.1,22.4
2026-04-29T17:52:30.335446,26.0,16.5,42.3,59.8
2026-04-29T17:52:31.338520,29.4,23.8,85.0,22.5
2026-04-29T17:52:32.341736,18.0,39.8,70.0,17.3
2026-04-29T17:52:33.345175,17.5,32.7,69.4,23.0
2026-04-29T17:52:34.347354,33.0,45.4,47.9,17.2
2026-04-29T17:52:35.348853,72.4,34.0,20.2,19.0
2026-04-29T17:52:36.352118,50.0,62.6,19.8,20.4
2026-04-29T17:52:37.353900,19.0,52.9,36.8,40.2
2026-04-29T17:52:38.355934,50.0,18.8,56.7,20.2
2026-04-29T17:52:39.357535,3.0,11.0,6.9,3.9
2026-04-29T17:52:40.358745,0.0,0.0,0.0,0.0
2026-04-29T17:52:41.360333,0.0,0.0,0.0,0.0
2026-04-29T17:52:42.364051,17.8,34.0,19.8,56.4
2026-04-29T17:52:43.386283,25.7,56.9,26.0,39.2
2026-04-29T17:52:44.414243,37.0,22.5,62.4,31.7
2026-04-29T17:52:45.416844,21.4,58.2,25.2,48.0
2026-04-29T17:52:46.421984,43.9,17.3,64.9,19.0
2026-04-29T17:52:47.424244,18.4,67.3,38.0,18.2
2026-04-29T17:52:48.427678,86.9,19.0,21.0,20.2
2026-04-29T17:52:49.429729,47.0,34.3,45.5,21.2
2026-04-29T17:52:50.431700,18.0,52.0,56.7,17.2
2026-04-29T17:52:51.434460,28.3,38.4,39.8,43.0
2026-04-29T17:52:52.438011,30.9,14.0,50.0,14.7
2026-04-29T17:52:53.439140,0.0,0.0,0.0,0.0
2026-04-29T17:52:54.440250,0.0,0.0,0.0,0.0
2026-04-29T17:52:55.441936,4.0,5.0,22.0,4.0
2026-04-29T17:52:56.445770,36.0,34.0,65.7,21.0
2026-04-29T17:52:57.447946,68.6,15.6,38.8,18.4
2026-04-29T17:52:58.450363,39.2,50.0,40.0,27.2
2026-04-29T17:52:59.452697,42.7,16.5,15.5,65.3
2026-04-29T17:53:00.455609,51.0,18.6,52.9,27.0
2026-04-29T17:53:01.457002,88.7,17.3,22.8,19.8
2026-04-29T17:53:02.460269,22.4,19.2,41.7,63.3
2026-04-29T17:53:03.462114,19.6,42.4,68.3,19.6
2026-04-29T17:53:04.464476,20.6,77.0,22.5,32.7
2026-04-29T17:53:05.467277,18.0,64.4,44.2,17.2
2026-04-29T17:53:06.469733,3.0,6.9,28.0,11.9
2026-04-29T17:53:07.470959,0.0,0.0,0.0,0.0
2026-04-29T17:53:08.472523,1.0,0.0,0.0,0.0
2026-04-29T17:53:09.475230,29.3,13.0,33.7,9.3
2026-04-29T17:53:10.477643,30.7,35.3,45.9,40.4
2026-04-29T17:53:11.479726,40.0,29.7,56.3,24.8
2026-04-29T17:53:12.481594,23.1,91.9,22.5,21.6
2026-04-29T17:53:13.484858,55.1,42.9,17.2,27.3
2026-04-29T17:53:14.490001,38.6,25.3,41.9,44.6
2026-04-29T17:53:15.492177,22.1,49.5,52.0,28.7
2026-04-29T17:53:16.494450,19.4,51.5,17.3,56.1
2026-04-29T17:53:17.498652,42.9,21.2,62.6,19.0
2026-04-29T17:53:18.500712,81.8,18.6,16.7,17.9
2026-04-29T17:53:19.502699,18.4,18.2,47.5,60.6
2026-04-29T17:53:20.504504,1.0,1.0,1.0,3.0
2026-04-29T17:53:21.505612,0.0,0.0,0.0,0.0
2026-04-29T17:53:22.506712,0.0,1.0,1.0,0.0
2026-04-29T17:53:23.508123,18.0,39.8,34.0,50.0
2026-04-29T17:53:24.521253,29.8,64.8,23.1,36.9
2026-04-29T17:53:25.523694,30.7,47.0,28.4,61.9
2026-04-29T17:53:26.525341,59.6,45.0,21.8,21.0
2026-04-29T17:53:27.527299,20.4,22.2,85.0,20.2
2026-04-29T17:53:28.529937,25.3,18.0,19.6,82.7
2026-04-29T17:53:29.531888,82.5,25.2,24.0,25.2
2026-04-29T17:53:30.536215,19.2,28.6,60.2,38.6
2026-04-29T17:53:31.537886,46.0,58.6,19.2,25.5
2026-04-29T17:53:32.539983,16.5,16.5,59.2,48.0
2026-04-29T17:53:33.541935,7.2,10.1,49.0,11.3
2026-04-29T17:53:34.543109,0.0,0.0,1.0,0.0
2026-04-29T17:53:35.544617,0.0,0.0,0.0,0.0
2026-04-29T17:53:36.546626,8.0,11.1,31.3,10.0
2026-04-29T17:53:37.549983,21.0,38.8,52.4,40.8
2026-04-29T17:53:38.552851,19.8,70.7,19.0,40.6
2026-04-29T17:53:39.555337,25.8,29.8,54.5,33.7
2026-04-29T17:53:40.558074,52.5,50.5,27.0,18.0
2026-04-29T17:53:41.561831,35.7,56.2,15.5,31.6
2026-04-29T17:53:42.564613,58.3,22.8,17.2,47.5
2026-04-29T17:53:43.568460,22.4,30.5,54.5,32.3
2026-04-29T17:53:44.570736,19.8,26.0,63.4,39.6
2026-04-29T17:53:45.574035,35.4,20.8,72.0,20.2
2026-04-29T17:53:46.577281,19.8,31.7,67.0,32.7
2026-04-29T17:53:47.578808,2.0,2.0,7.1,15.0
2026-04-29T17:53:48.579897,0.0,0.0,0.0,0.0
2026-04-29T17:53:49.580977,0.0,0.0,0.0,0.0
2026-04-29T17:53:50.582580,24.3,22.9,46.9,31.4
2026-04-29T17:53:51.586570,54.6,32.0,39.4,25.0
2026-04-29T17:53:52.589722,48.0,42.2,17.8,40.0
2026-04-29T17:53:53.598485,41.2,61.6,22.5,23.8
2026-04-29T17:53:54.604784,21.1,83.3,16.5,16.5
2026-04-29T17:53:55.621557,41.6,50.0,22.8,37.6
2026-04-29T17:53:56.623958,18.8,83.3,21.8,25.3
2026-04-29T17:53:57.626671,15.5,89.7,18.2,21.4
2026-04-29T17:53:58.628601,91.8,18.8,19.0,18.0
2026-04-29T17:53:59.631427,21.2,25.8,38.8,59.2
2026-04-29T17:54:00.633794,19.2,15.0,62.9,20.0
2026-04-29T17:54:01.635001,0.0,0.0,0.0,0.0
2026-04-29T17:54:02.636531,0.0,0.0,0.0,0.0
2026-04-29T17:54:03.641772,1.0,1.0,20.0,1.0
2026-04-29T17:54:04.644046,61.8,29.0,25.8,41.7
2026-04-29T17:54:05.646177,64.4,20.4,15.6,40.2
2026-04-29T17:54:06.649297,50.0,17.5,33.3,45.9
2026-04-29T17:54:07.652967,34.7,19.8,41.0,56.0
2026-04-29T17:54:08.656039,34.3,41.2,17.2,47.5
2026-04-29T17:54:09.659832,81.6,18.8,17.2,26.5
2026-04-29T17:54:10.664570,26.3,26.5,72.7,18.4
2026-04-29T17:54:11.666839,19.6,24.3,77.6,31.4
2026-04-29T17:54:12.669996,41.4,22.4,36.0,40.2
2026-04-29T17:54:13.672434,27.0,40.6,60.6,21.4
2026-04-29T17:54:14.674384,9.6,9.6,38.0,8.7
2026-04-29T17:54:15.675527,0.0,0.0,0.0,0.0
2026-04-29T17:54:16.676644,0.0,0.0,0.0,0.0
2026-04-29T17:54:17.678259,13.3,16.8,46.5,11.2
2026-04-29T17:54:18.682308,44.0,64.0,21.0,27.5
2026-04-29T17:54:19.685546,48.5,22.9,15.8,49.0
2026-04-29T17:54:20.687881,90.0,19.0,22.3,20.8
2026-04-29T17:54:21.690941,61.9,51.0,18.0,18.8
2026-04-29T17:54:22.692943,18.2,80.0,28.0,19.2
2026-04-29T17:54:23.695208,18.0,76.0,17.2,34.0
2026-04-29T17:54:24.697095,41.2,68.0,17.2,18.2
2026-04-29T17:54:25.700203,27.0,28.3,51.0,43.7
2026-04-29T17:54:26.701745,65.3,16.0,14.0,40.0
2026-04-29T17:54:27.706062,62.4,39.4,22.0,22.0
2026-04-29T17:54:28.707644,7.0,1.0,1.0,2.0
2026-04-29T17:54:29.708831,0.0,0.0,0.0,0.0
2026-04-29T17:54:30.710382,0.0,0.0,0.0,0.0
2026-04-29T17:54:31.712016,61.4,18.4,36.7,15.2
2026-04-29T17:54:32.733531,37.0,34.0,35.3,47.1
2026-04-29T17:54:33.757916,32.0,71.9,29.7,22.0
2026-04-29T17:54:34.762081,38.0,48.5,42.9,19.4
2026-04-29T17:54:35.764884,33.0,19.0,19.0,78.2
2026-04-29T17:54:36.766539,56.6,30.5,22.7,29.9
2026-04-29T17:54:37.769598,18.0,76.8,32.0,18.4
2026-04-29T17:54:38.771587,69.3,17.3,34.7,22.2
2026-04-29T17:54:39.775290,29.6,19.8,74.5,22.2
2026-04-29T17:54:40.779143,28.1,24.0,24.8,66.3
2026-04-29T17:54:41.781156,21.4,26.5,33.0,9.2
2026-04-29T17:54:42.782289,0.0,0.0,0.0,0.0
