Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-29T17:51:42.944064,  0.0,05.1082,0.71110,03.6266
2026-04-29T17:51:43.963627,  1.0,05.1033,0.80393,04.1000
2026-04-29T17:51:44.938959,  2.0,05.1034,0.82634,04.2143
2026-04-29T17:51:45.960681,  3.0,05.1083,0.81408,04.1518
2026-04-29T17:51:46.935632,  4.0,05.1085,0.80002,04.0801
2026-04-29T17:51:47.956904,  5.0,05.1083,0.79190,04.0386
2026-04-29T17:51:48.930551,  6.0,05.1081,0.85766,04.3740
2026-04-29T17:51:49.950913,  7.0,05.1061,0.92159,04.7001
2026-04-29T17:51:50.972455,  8.0,05.1082,0.82193,04.1918
2026-04-29T17:51:51.950151,  9.0,05.1050,0.86652,04.4192
2026-04-29T17:51:52.969865, 10.0,05.1087,0.88230,04.4997
2026-04-29T17:51:53.946171, 11.0,05.1055,0.91670,04.6751
2026-04-29T17:51:54.970755, 12.0,05.1055,0.94197,04.8040
2026-04-29T17:51:55.945775, 13.0,05.1091,0.97726,04.9840
2026-04-29T17:51:56.965818, 14.0,05.1077,1.00746,05.1380
2026-04-29T17:51:57.941611, 15.0,05.1098,0.90073,04.5937
2026-04-29T17:51:58.962766, 16.0,05.1098,0.93954,04.7916
2026-04-29T17:51:59.938240, 17.0,05.1079,0.95148,04.8525
2026-04-29T17:52:00.957487, 18.0,05.1108,1.06827,05.4588
2026-04-29T17:52:01.931740, 19.0,05.1045,1.10976,05.6597
2026-04-29T17:52:02.952164, 20.0,05.1085,1.17958,06.0158
2026-04-29T17:52:03.975412, 21.0,05.1034,1.13559,05.7915
2026-04-29T17:52:04.952255, 22.0,05.1062,1.04347,05.3216
2026-04-29T17:52:05.974047, 23.0,05.1031,1.06026,05.4073
2026-04-29T17:52:06.949052, 24.0,05.1041,1.03765,05.2920
2026-04-29T17:52:07.969523, 25.0,05.1022,1.12151,05.7197
2026-04-29T17:52:08.944971, 26.0,05.1008,1.01444,05.1736
2026-04-29T17:52:09.967548, 27.0,05.1101,1.06711,05.4529
2026-04-29T17:52:10.943982, 28.0,05.1020,1.10971,05.6595
2026-04-29T17:52:11.967420, 29.0,05.1074,0.74402,03.7945
2026-04-29T17:52:12.943855, 30.0,05.1075,0.74403,03.7945
2026-04-29T17:52:13.968058, 31.0,05.1075,0.74317,03.7901
2026-04-29T17:52:14.940714, 32.0,05.0997,1.08124,05.5035
2026-04-29T17:52:15.960939, 33.0,05.1073,1.08777,05.5476
2026-04-29T17:52:16.936938, 34.0,05.1087,1.01851,05.1944
2026-04-29T17:52:17.955866, 35.0,05.1089,1.08285,05.5225
2026-04-29T17:52:18.977314, 36.0,05.1081,1.04620,05.3356
2026-04-29T17:52:19.954769, 37.0,05.1078,0.90881,04.6349
2026-04-29T17:52:20.976856, 38.0,05.1119,1.02567,05.2411
2026-04-29T17:52:21.951062, 39.0,05.1098,1.03505,05.2787
2026-04-29T17:52:22.972592, 40.0,05.1091,1.12983,05.7621
2026-04-29T17:52:23.945005, 41.0,05.1098,0.96693,04.9313
2026-04-29T17:52:24.967625, 42.0,05.1028,1.03490,05.2779
2026-04-29T17:52:25.940827, 43.0,05.1091,0.79814,04.0705
2026-04-29T17:52:26.958698, 44.0,05.1095,0.78394,03.9980
2026-04-29T17:52:27.977419, 45.0,05.1085,0.77530,03.9540
2026-04-29T17:52:28.948934, 46.0,05.1059,1.04551,05.3321
2026-04-29T17:52:29.967923, 47.0,05.1058,1.03984,05.3031
2026-04-29T17:52:30.940568, 48.0,05.1058,1.07807,05.4981
2026-04-29T17:52:31.965430, 49.0,05.0997,1.10574,05.6282
2026-04-29T17:52:32.941595, 50.0,05.1150,0.99645,05.0918
2026-04-29T17:52:33.963115, 51.0,05.1125,1.23900,06.3312
2026-04-29T17:52:34.982578, 52.0,05.1081,1.41833,07.2334
2026-04-29T17:52:35.958472, 53.0,05.1092,0.98163,05.0063
2026-04-29T17:52:36.980805, 54.0,05.1134,1.04364,05.3330
2026-04-29T17:52:37.955589, 55.0,05.1114,1.02236,05.2242
2026-04-29T17:52:38.977222, 56.0,05.1070,0.75667,03.8590
2026-04-29T17:52:39.951405, 57.0,05.1088,0.74490,03.7989
2026-04-29T17:52:40.971826, 58.0,05.1089,0.59822,03.0509
2026-04-29T17:52:41.948789, 59.0,05.0989,1.27881,06.5091
2026-04-29T17:52:42.972617, 60.0,05.1139,1.11338,05.6893
2026-04-29T17:52:43.948424, 61.0,05.1119,1.29819,06.6337
2026-04-29T17:52:44.969275, 62.0,05.1030,1.02186,05.2114
2026-04-29T17:52:45.946441, 63.0,05.1153,1.12245,05.7357
2026-04-29T17:52:46.971178, 64.0,05.0951,1.14112,05.8083
2026-04-29T17:52:47.948843, 65.0,05.1103,1.07247,05.4803
2026-04-29T17:52:48.973825, 66.0,05.1019,1.03781,05.2928
2026-04-29T17:52:49.952866, 67.0,05.1144,1.04699,05.3501
2026-04-29T17:52:50.975388, 68.0,05.1034,1.02940,05.2499
2026-04-29T17:52:51.950166, 69.0,05.1067,1.01223,05.1623
2026-04-29T17:52:52.974920, 70.0,05.1095,0.75319,03.8412
2026-04-29T17:52:53.946245, 71.0,05.1066,0.75056,03.8278
2026-04-29T17:52:54.970801, 72.0,05.1072,0.74602,03.8047
2026-04-29T17:52:55.947422, 73.0,05.1116,1.24324,06.3529
2026-04-29T17:52:56.973946, 74.0,05.1097,1.03540,05.2805
2026-04-29T17:52:57.948931, 75.0,05.1062,1.13311,05.7788
2026-04-29T17:52:58.969234, 76.0,05.1072,1.13366,05.7816
2026-04-29T17:52:59.946027, 77.0,05.1106,1.15814,05.9180
2026-04-29T17:53:00.968194, 78.0,05.1078,1.23770,06.3122
2026-04-29T17:53:01.943343, 79.0,05.1036,1.03717,05.2895
2026-04-29T17:53:02.966820, 80.0,05.1069,1.12626,05.7439
2026-04-29T17:53:03.943813, 81.0,05.1051,1.10262,05.6233
2026-04-29T17:53:04.967426, 82.0,05.1094,1.15189,05.8746
2026-04-29T17:53:05.988772, 83.0,05.1028,0.98622,05.0297
2026-04-29T17:53:06.965159, 84.0,05.1081,0.74969,03.8234
2026-04-29T17:53:07.984918, 85.0,05.1088,0.65466,03.3387
2026-04-29T17:53:08.955911, 86.0,05.1084,0.65259,03.3282
2026-04-29T17:53:09.978203, 87.0,05.1056,1.09046,05.5613
2026-04-29T17:53:10.953630, 88.0,05.1028,1.05843,05.3979
2026-04-29T17:53:11.972822, 89.0,05.1137,1.04922,05.3615
2026-04-29T17:53:12.949123, 90.0,05.1057,1.09211,05.5697
2026-04-29T17:53:13.971758, 91.0,05.1036,1.09706,05.5950
2026-04-29T17:53:14.948631, 92.0,05.1145,1.06406,05.4373
2026-04-29T17:53:15.968536, 93.0,05.1030,0.97977,04.9968
2026-04-29T17:53:16.990382, 94.0,05.1058,1.04517,05.3303
2026-04-29T17:53:17.965637, 95.0,05.1148,1.26678,06.4732
2026-04-29T17:53:18.986550, 96.0,05.1044,1.16780,05.9557
2026-04-29T17:53:19.964466, 97.0,05.1059,0.75183,03.8343
2026-04-29T17:53:20.984115, 98.0,05.1086,0.75015,03.8257
2026-04-29T17:53:21.957435, 99.0,05.1086,0.75027,03.8263
2026-04-29T17:53:22.978352,100.0,05.1079,0.96628,04.9280
2026-04-29T17:53:23.952819,101.0,05.1159,1.16407,05.9483
2026-04-29T17:53:24.972644,102.0,05.1156,1.23574,06.3146
2026-04-29T17:53:25.949428,103.0,05.0987,1.02654,05.2250
2026-04-29T17:53:26.971775,104.0,05.1030,1.05546,05.3828
2026-04-29T17:53:27.993223,105.0,05.1073,1.08024,05.5092
2026-04-29T17:53:28.969367,106.0,05.1084,1.07863,05.5010
2026-04-29T17:53:29.988331,107.0,05.1075,1.08100,05.5131
2026-04-29T17:53:30.962095,108.0,05.1145,1.03301,05.2786
2026-04-29T17:53:31.982512,109.0,05.0980,1.12611,05.7318
2026-04-29T17:53:32.956076,110.0,05.1087,1.01828,05.1932
2026-04-29T17:53:33.974550,111.0,05.1086,0.75163,03.8333
2026-04-29T17:53:34.993170,112.0,05.1092,0.60072,03.0636
2026-04-29T17:53:35.966898,113.0,05.1088,0.59980,03.0589
2026-04-29T17:53:36.985238,114.0,05.1066,1.05038,05.3569
2026-04-29T17:53:37.959492,115.0,05.1089,1.19286,06.0835
2026-04-29T17:53:38.979902,116.0,05.1072,1.08063,05.5112
2026-04-29T17:53:39.955509,117.0,05.1111,1.04136,05.3213
2026-04-29T17:53:40.976918,118.0,05.1092,1.07870,05.5013
2026-04-29T17:53:41.951594,119.0,05.1087,0.99353,05.0670
2026-04-29T17:53:42.970658,120.0,05.1093,1.02413,05.2230
2026-04-29T17:53:43.987828,121.0,05.1058,0.98035,04.9997
2026-04-29T17:53:44.960215,122.0,05.1061,1.03996,05.3037
2026-04-29T17:53:45.978379,123.0,05.1153,1.02537,05.2396
2026-04-29T17:53:46.952875,124.0,05.1084,1.02066,05.2053
2026-04-29T17:53:47.971370,125.0,05.1083,0.75171,03.8337
2026-04-29T17:53:48.991188,126.0,05.1079,0.74989,03.8244
2026-04-29T17:53:49.966417,127.0,05.1074,0.74730,03.8112
2026-04-29T17:53:50.988954,128.0,05.1064,1.06844,05.4490
2026-04-29T17:53:51.963292,129.0,05.1011,0.99782,05.0888
2026-04-29T17:53:52.986241,130.0,05.1030,1.19439,06.0913
2026-04-29T17:53:53.959876,131.0,05.1022,1.05837,05.3976
2026-04-29T17:53:54.981235,132.0,05.1091,1.15585,05.8948
2026-04-29T17:53:55.955810,133.0,05.1019,1.11174,05.6698
2026-04-29T17:53:56.979650,134.0,05.1062,1.13560,05.7915
2026-04-29T17:53:57.954771,135.0,05.1087,1.14938,05.8618
2026-04-29T17:53:58.975895,136.0,05.1151,1.16061,05.9307
2026-04-29T17:53:59.996735,137.0,05.1108,1.25149,06.3951
2026-04-29T17:54:00.971233,138.0,05.1089,0.75505,03.8507
2026-04-29T17:54:01.989814,139.0,05.1089,0.60033,03.0616
2026-04-29T17:54:02.961277,140.0,05.1083,0.59991,03.0595
2026-04-29T17:54:03.980722,141.0,05.0858,1.11382,05.6582
2026-04-29T17:54:04.958399,142.0,05.1081,1.24149,06.3315
2026-04-29T17:54:05.981111,143.0,05.1016,1.14508,05.8399
2026-04-29T17:54:06.958498,144.0,05.1091,1.15355,05.8831
2026-04-29T17:54:07.981045,145.0,05.1074,1.13274,05.7769
2026-04-29T17:54:08.955648,146.0,05.1077,1.07073,05.4607
2026-04-29T17:54:09.977803,147.0,05.1083,1.05905,05.4011
2026-04-29T17:54:10.998932,148.0,05.1048,1.01323,05.1674
2026-04-29T17:54:11.975102,149.0,05.1066,1.16195,05.9259
2026-04-29T17:54:12.997660,150.0,05.1008,1.07674,05.4913
2026-04-29T17:54:13.975037,151.0,05.1055,1.14907,05.8602
2026-04-29T17:54:14.993774,152.0,05.1082,0.75505,03.8507
2026-04-29T17:54:15.967027,153.0,05.1078,0.75151,03.8327
2026-04-29T17:54:16.986878,154.0,05.1084,0.74793,03.8144
2026-04-29T17:54:17.963134,155.0,05.1061,1.04023,05.3051
2026-04-29T17:54:18.980563,156.0,05.1078,0.94867,04.8382
2026-04-29T17:54:19.998341,157.0,05.1087,1.00710,05.1362
2026-04-29T17:54:20.971960,158.0,05.1075,1.07052,05.4596
2026-04-29T17:54:21.992079,159.0,05.1062,1.01790,05.1912
2026-04-29T17:54:22.965648,160.0,05.1119,1.01378,05.1804
2026-04-29T17:54:23.983144,161.0,05.1056,0.96257,04.9091
2026-04-29T17:54:25.000862,162.0,05.1103,1.02724,05.2491
2026-04-29T17:54:25.972090,163.0,05.1081,1.09330,05.5758
2026-04-29T17:54:26.992023,164.0,05.1083,0.97068,04.9504
2026-04-29T17:54:27.964622,165.0,05.1130,0.96619,04.9372
2026-04-29T17:54:28.984324,166.0,05.1077,0.74926,03.8212
2026-04-29T17:54:30.002526,167.0,05.1103,0.61775,03.1567
2026-04-29T17:54:30.971118,168.0,05.1037,0.70059,03.5730
2026-04-29T17:54:31.989742,169.0,05.1014,1.00754,05.1384
2026-04-29T17:54:33.005209,170.0,05.1105,0.99856,05.1026
2026-04-29T17:54:33.977938,171.0,05.1086,1.15997,05.9158
2026-04-29T17:54:34.997678,172.0,05.1030,1.14036,05.8158
2026-04-29T17:54:35.970266,173.0,05.1080,1.13572,05.7921
2026-04-29T17:54:36.989803,174.0,05.1181,1.15560,05.9051
2026-04-29T17:54:37.964249,175.0,05.1055,1.05232,05.3668
2026-04-29T17:54:38.982896,176.0,05.0973,1.02870,05.2360
2026-04-29T17:54:40.002504,177.0,05.0995,1.12839,05.7435
2026-04-29T17:54:40.975255,178.0,05.1087,1.27763,06.5159
2026-04-29T17:54:41.997739,179.0,05.1101,0.77380,03.9541
2026-04-29T17:54:42.969926,180.0,05.1086,0.77171,03.9357
2026-04-29T17:54:43.987657,181.0,05.1088,0.76706,03.9120
2026-04-29T17:54:45.007132,182.0,05.0951,1.17828,05.9974
2026-04-29T17:54:45.980352,183.0,05.1100,1.03876,05.3080
2026-04-29T17:54:46.997432,184.0,05.1125,1.16553,05.9558
2026-04-29T17:54:47.970945,185.0,05.1148,1.09206,05.5804
2026-04-29T17:54:48.991715,186.0,05.1061,1.01821,05.1928
2026-04-29T17:54:49.970711,187.0,05.1044,1.18454,06.0411
2026-04-29T17:54:50.992030,188.0,05.1001,1.07873,05.5015
2026-04-29T17:54:51.965080,189.0,05.1036,1.13765,05.8020
2026-04-29T17:54:52.983865,190.0,05.1137,1.15102,05.8817
2026-04-29T17:54:54.002102,191.0,05.1081,1.07793,05.4974
2026-04-29T17:54:54.975607,192.0,05.1167,1.09480,05.5944
2026-04-29T17:54:55.996105,193.0,05.1076,0.76608,03.9070
2026-04-29T17:54:56.968279,194.0,05.1078,0.61572,03.1401
2026-04-29T17:54:57.986079,195.0,05.1085,0.60068,03.0634
2026-04-29T17:54:59.003805,196.0,05.1053,0.96273,04.9099
2026-04-29T17:54:59.980371,197.0,05.1078,1.31111,06.6866
2026-04-29T17:55:01.003002,198.0,05.1039,1.14436,05.8362
2026-04-29T17:55:01.976542,199.0,05.1097,1.05177,05.3640
2026-04-29T17:55:02.997268,200.0,05.1087,1.24564,06.3527
2026-04-29T17:55:03.967989,201.0,05.1119,0.97765,04.9957
2026-04-29T17:55:04.986989,202.0,05.1067,0.97189,04.9566
2026-04-29T17:55:06.007806,203.0,05.1098,1.05377,05.3742
2026-04-29T17:55:06.982376,204.0,05.1055,0.98809,05.0392
2026-04-29T17:55:08.001597,205.0,05.1145,1.02775,05.2518
2026-04-29T17:55:08.974538,206.0,05.1058,0.99287,05.0636
2026-04-29T17:55:09.993043,207.0,05.1088,0.75204,03.8354
2026-04-29T17:55:11.011345,208.0,05.1090,0.74308,03.7897
2026-04-29T17:55:11.986263,209.0,05.1085,0.79777,04.0686
2026-04-29T17:55:13.006902,210.0,05.1016,1.21918,06.2178
2026-04-29T17:55:13.981975,211.0,05.1074,0.99591,05.0791
2026-04-29T17:55:15.002644,212.0,05.1119,1.02857,05.2559
2026-04-29T17:55:15.980115,213.0,05.1072,1.04614,05.3353
2026-04-29T17:55:17.002084,214.0,05.0906,1.30127,06.6234
2026-04-29T17:55:17.978137,215.0,05.1042,1.35119,06.8910
2026-04-29T17:55:19.000676,216.0,05.1019,1.02993,05.2526
2026-04-29T17:55:19.977201,217.0,05.1008,1.28554,06.5562
2026-04-29T17:55:20.998656,218.0,05.1069,0.99039,05.0509
2026-04-29T17:55:21.976236,219.0,05.1120,1.06117,05.4225
2026-04-29T17:55:22.997408,220.0,05.1078,0.75125,03.8313
2026-04-29T17:55:23.973206,221.0,05.1064,0.68714,03.5044
2026-04-29T17:55:24.992930,222.0,05.1094,0.59855,03.0526
2026-04-29T17:55:26.009899,223.0,05.1114,1.36202,06.9599
2026-04-29T17:55:26.982545,224.0,05.1000,1.03759,05.2917
2026-04-29T17:55:28.000704,225.0,05.1116,1.11854,05.7157
2026-04-29T17:55:28.973718,226.0,05.1108,1.09990,05.6204
2026-04-29T17:55:29.990407,227.0,05.1055,1.07399,05.4773
2026-04-29T17:55:31.008780,228.0,05.1079,1.07343,05.4744
2026-04-29T17:55:31.982926,229.0,05.1169,1.06021,05.4176
2026-04-29T17:55:33.003989,230.0,05.1014,1.10618,05.6415
2026-04-29T17:55:33.976999,231.0,05.1095,1.05674,05.3893
2026-04-29T17:55:34.996449,232.0,05.1158,1.14319,05.8417
2026-04-29T17:55:36.014950,233.0,05.1072,1.17114,05.9728
2026-04-29T17:55:36.988041,234.0,05.1070,0.75211,03.8357
2026-04-29T17:55:38.006019,235.0,05.1070,0.74994,03.8246
2026-04-29T17:55:38.981279,236.0,05.1075,0.74681,03.8087
2026-04-29T17:55:40.001652,237.0,05.1125,1.17323,05.9952
2026-04-29T17:55:40.976401,238.0,05.1044,1.01024,05.1522
2026-04-29T17:55:41.998094,239.0,05.1044,1.12952,05.7605
2026-04-29T17:55:43.016120,240.0,05.1076,1.01059,05.1540
2026-04-29T17:55:43.986695,241.0,05.1123,1.09530,05.5969
2026-04-29T17:55:45.007028,242.0,05.1028,1.03093,05.2577
2026-04-29T17:55:45.979175,243.0,05.1023,1.14250,05.8267
2026-04-29T17:55:46.999430,244.0,05.1028,1.07074,05.4607
2026-04-29T17:55:47.974160,245.0,05.1076,1.15088,05.8694
2026-04-29T17:55:48.993797,246.0,05.1082,1.10024,05.6112
2026-04-29T17:55:50.014652,247.0,05.1082,1.04790,05.3442
2026-04-29T17:55:50.989975,248.0,05.1085,0.74686,03.8089
2026-04-29T17:55:52.006240,249.0,05.1085,0.60073,03.0637
2026-04-29T17:55:52.978663,250.0,05.1078,0.60093,03.0647
2026-04-29T17:55:53.999525,251.0,05.1048,1.04294,05.3189
2026-04-29T17:55:55.020514,252.0,05.1000,0.96337,04.9131
2026-04-29T17:55:55.994204,253.0,05.1086,1.24277,06.3381
2026-04-29T17:55:57.015521,254.0,05.1105,0.99343,05.0764
2026-04-29T17:55:57.987582,255.0,05.1061,1.10006,05.6103
2026-04-29T17:55:59.008105,256.0,05.1047,1.15542,05.8926
2026-04-29T17:55:59.982279,257.0,05.1089,1.25769,06.4142
2026-04-29T17:56:01.001132,258.0,05.1016,1.24463,06.3476
2026-04-29T17:56:01.979252,259.0,05.0970,1.17157,05.9632
2026-04-29T17:56:02.997884,260.0,05.1123,1.08923,05.5659
2026-04-29T17:56:04.015692,261.0,05.1072,0.77059,03.9300
2026-04-29T17:56:04.987676,262.0,05.1072,0.77169,03.9356
2026-04-29T17:56:06.004458,263.1,05.1076,0.76837,03.9186
2026-04-29T17:56:07.023844,264.1,05.1123,1.17227,05.9902
2026-04-29T17:56:07.995689,265.1,05.1123,1.13601,05.8050
2026-04-29T17:56:09.018881,266.1,05.1085,1.14322,05.8304
2026-04-29T17:56:09.994462,267.1,05.0989,1.07313,05.4622
2026-04-29T17:56:11.014927,268.1,05.1048,1.18397,06.0382
2026-04-29T17:56:11.990105,269.1,05.1000,1.03481,05.2775
2026-04-29T17:56:13.009035,270.1,05.1058,1.08459,05.5314
2026-04-29T17:56:13.980933,271.1,05.1019,1.09987,05.6093
2026-04-29T17:56:15.000512,272.1,05.1130,1.19824,06.1230
2026-04-29T17:56:16.020971,273.1,05.1120,1.09508,05.5958
2026-04-29T17:56:16.993955,274.1,05.1088,1.07122,05.4632
2026-04-29T17:56:18.015738,275.1,05.1090,0.74621,03.8056
2026-04-29T17:56:18.990439,276.1,05.1091,0.60043,03.0621
2026-04-29T17:56:20.008522,277.1,05.1082,0.59934,03.0566
2026-04-29T17:56:20.981675,278.1,05.1122,1.09057,05.5728
2026-04-29T17:56:22.001356,279.1,05.1086,1.10461,05.6335
2026-04-29T17:56:23.021653,280.1,05.1039,1.09100,05.5641
2026-04-29T17:56:23.995809,281.1,05.1011,1.07318,05.4732
2026-04-29T17:56:25.018228,282.1,05.1042,1.12231,05.7237
2026-04-29T17:56:25.992350,283.1,05.1078,1.01345,05.1685
2026-04-29T17:56:27.015553,284.1,05.1123,1.18082,06.0339
2026-04-29T17:56:27.990791,285.1,05.1031,1.08662,05.5417
2026-04-29T17:56:29.013203,286.1,05.1101,1.21459,06.2065
2026-04-29T17:56:29.989785,287.1,05.1094,1.00199,05.1101
2026-04-29T17:56:31.011262,288.1,05.1080,1.03316,05.2691
2026-04-29T17:56:31.989239,289.1,05.1093,0.75041,03.8270
2026-04-29T17:56:33.013223,290.1,05.1094,0.74846,03.8171
2026-04-29T17:56:33.990105,291.1,05.1081,0.78771,04.0173
2026-04-29T17:56:35.011614,292.1,05.1136,1.23186,06.2948
2026-04-29T17:56:35.988404,293.1,05.1083,0.99686,05.0839
2026-04-29T17:56:37.010418,294.1,05.1076,1.19209,06.0796
2026-04-29T17:56:38.027146,295.1,05.1119,1.00312,05.1259
2026-04-29T17:56:38.999042,296.1,05.1061,1.22666,06.2559
2026-04-29T17:56:40.018542,297.1,05.1079,1.23262,06.2863
2026-04-29T17:56:40.990649,298.1,05.1106,1.17179,05.9878
2026-04-29T17:56:42.009045,299.1,05.1100,1.19133,06.0876
2026-04-29T17:56:43.026062,300.1,05.1076,1.08284,05.5224
2026-04-29T17:56:44.000730,301.1,05.1120,1.02128,05.2187
2026-04-29T17:56:45.017157,302.1,05.1089,0.75388,03.8447
2026-04-29T17:56:45.989200,303.1,05.1084,0.75048,03.8274
2026-04-29T17:56:47.004635,304.1,05.1088,0.59933,03.0565
2026-04-29T17:56:48.020530,305.1,05.1047,1.21282,06.1853
2026-04-29T17:56:48.993680,306.1,05.1025,1.02417,05.2232
2026-04-29T17:56:50.013191,307.1,05.0978,1.11635,05.6822
2026-04-29T17:56:50.988248,308.1,05.1117,1.05613,05.3968
2026-04-29T17:56:52.007174,309.1,05.1078,1.06665,05.4399
2026-04-29T17:56:53.024699,310.1,05.1067,0.94388,04.8137
2026-04-29T17:56:53.997087,311.1,05.1025,1.13977,05.8128
2026-04-29T17:56:55.016194,312.1,05.1084,1.26120,06.4321
2026-04-29T17:56:55.991544,313.1,05.0983,1.04756,05.3320
2026-04-29T17:56:57.008955,314.1,05.1111,1.11009,05.6725
2026-04-29T17:56:58.026722,315.1,05.1022,1.02320,05.2183
2026-04-29T17:56:58.997006,316.1,05.1083,0.75607,03.8559
2026-04-29T17:57:00.018264,317.1,05.1071,0.74524,03.8007
2026-04-29T17:57:00.991808,318.1,05.1080,0.74557,03.8024
2026-04-29T17:57:02.010766,319.1,05.1086,0.99401,05.0694
2026-04-29T17:57:03.032392,320.1,05.1061,1.07190,05.4666
2026-04-29T17:57:04.008640,321.1,05.1039,1.07153,05.4648
2026-04-29T17:57:05.029837,322.1,05.1086,1.00594,05.1302
2026-04-29T17:57:06.003917,323.1,05.1128,1.08131,05.5254
2026-04-29T17:57:07.021460,324.1,05.1090,1.00966,05.1492
2026-04-29T17:57:07.995122,325.1,05.0995,1.00122,05.0962
2026-04-29T17:57:09.016973,326.1,05.1098,1.18228,06.0296
2026-04-29T17:57:09.993495,327.1,05.1041,1.03162,05.2612
2026-04-29T17:57:11.012711,328.1,05.1055,0.98173,05.0068
2026-04-29T17:57:12.030203,329.1,05.1110,0.86739,04.4323
2026-04-29T17:57:13.001479,330.1,05.1109,0.75151,03.8402
2026-04-29T17:57:14.017350,331.1,05.1084,0.59905,03.0551
2026-04-29T17:57:15.035719,332.1,05.1098,0.61569,03.1400
2026-04-29T17:57:16.013229,333.1,05.1096,1.04338,05.3212
2026-04-29T17:57:17.034725,334.1,05.1091,1.13476,05.7872
2026-04-29T17:57:18.011189,335.1,05.0998,1.20021,06.1090
2026-04-29T17:57:19.032833,336.1,05.1161,1.14781,05.8653
2026-04-29T17:57:20.011582,337.1,05.1094,1.02836,05.2446
2026-04-29T17:57:21.037357,338.1,05.1084,1.09139,05.5660
2026-04-29T17:57:22.013675,339.1,05.1080,1.22367,06.2407
2026-04-29T17:57:23.036602,340.1,05.1092,1.16761,05.9548
2026-04-29T17:57:24.014008,341.1,05.1017,1.11293,05.6759
2026-04-29T17:57:25.036347,342.1,05.0986,1.04506,05.3193
2026-04-29T17:57:26.012823,343.1,05.1069,0.77017,03.9278
2026-04-29T17:57:27.032272,344.1,05.1067,0.77114,03.9328
2026-04-29T17:57:28.007700,345.1,05.1071,0.76889,03.9213
2026-04-29T17:57:29.028990,346.1,05.0989,1.02650,05.2248
2026-04-29T17:57:30.004786,347.1,05.1083,1.22165,06.2304
2026-04-29T17:57:31.023382,348.1,05.1086,1.09778,05.5986
2026-04-29T17:57:32.002935,349.1,05.1064,1.19433,06.0910
2026-04-29T17:57:33.027883,350.1,05.1026,1.11279,05.6752
2026-04-29T17:57:34.004358,351.1,05.1106,1.15384,05.8961
2026-04-29T17:57:35.027803,352.1,05.1026,1.07544,05.4847
2026-04-29T17:57:36.003243,353.1,05.1147,1.21058,06.1860
2026-04-29T17:57:37.027626,354.1,05.1079,1.04438,05.3263
2026-04-29T17:57:38.002710,355.1,05.1101,1.19762,06.1198
2026-04-29T17:57:39.025084,356.1,05.1008,1.03678,05.2875
2026-04-29T17:57:39.998127,357.1,05.1075,0.77229,03.9386
2026-04-29T17:57:41.019867,358.1,05.1092,0.61561,03.1396
2026-04-29T17:57:42.039372,359.1,05.1083,0.59197,03.0190
2026-04-29T17:57:43.015804,360.1,05.1078,1.13903,05.8090
2026-04-29T17:57:44.038989,361.1,05.1076,1.01537,05.1783
2026-04-29T17:57:45.011742,362.1,05.1070,0.99246,05.0615
2026-04-29T17:57:46.032528,363.1,05.1053,0.97001,04.9470
2026-04-29T17:57:47.006020,364.1,05.1094,1.19650,06.1021
2026-04-29T17:57:48.025693,365.1,05.1081,1.25895,06.4206
2026-04-29T17:57:49.004503,366.1,05.1051,1.07360,05.4753
2026-04-29T17:57:50.029897,367.1,05.1070,1.04703,05.3398
2026-04-29T17:57:51.003407,368.1,05.1066,0.98453,05.0211
2026-04-29T17:57:52.027860,369.1,05.1087,1.07596,05.4873
2026-04-29T17:57:53.003770,370.1,05.1172,1.20282,06.1464
2026-04-29T17:57:54.025691,371.1,05.1067,0.74760,03.8127
2026-04-29T17:57:55.000861,372.1,05.1072,0.74714,03.8104
2026-04-29T17:57:56.022084,373.1,05.1041,0.79577,04.0584
2026-04-29T17:57:57.001231,374.1,05.1062,1.38510,07.0640
2026-04-29T17:57:58.023628,375.1,05.0987,1.03920,05.2895
2026-04-29T17:57:59.043547,376.1,05.0997,1.24088,06.3160
2026-04-29T17:58:00.020450,377.1,05.1103,1.01380,05.1805
2026-04-29T17:58:01.040644,378.1,05.1039,1.39354,07.1070
2026-04-29T17:58:02.014764,379.1,05.1074,1.23465,06.2967
2026-04-29T17:58:03.035382,380.1,05.1106,1.27513,06.5159
2026-04-29T17:58:04.011152,381.1,05.1037,1.28748,06.5661
2026-04-29T17:58:05.032168,382.1,05.1054,1.12670,05.7461
2026-04-29T17:58:06.008916,383.1,05.1101,1.15669,05.9106
2026-04-29T17:58:07.026699,384.1,05.1078,0.75158,03.8330
2026-04-29T17:58:08.046074,385.1,05.1061,0.64655,03.2974
2026-04-29T17:58:09.018187,386.1,05.1097,0.60018,03.0609
2026-04-29T17:58:10.036351,387.1,05.1051,1.08847,05.5511
2026-04-29T17:58:11.011565,388.1,05.0964,1.15395,05.8736
