timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7
2026-04-18T12:34:55.630663,34.0,33.0,31.0,28.0,56.6,43.0,37.6,26.3
2026-04-18T12:34:56.634908,38.4,35.4,34.0,31.0,51.0,48.5,41.2,27.7
2026-04-18T12:34:57.640187,43.9,40.8,34.7,31.3,68.4,59.6,52.0,47.5
2026-04-18T12:34:58.643466,41.2,38.4,34.3,29.9,65.7,57.1,49.5,44.0
2026-04-18T12:34:59.648166,45.5,39.8,35.4,34.0,64.3,59.6,55.6,44.9
2026-04-18T12:35:00.653219,45.4,40.2,37.8,34.3,67.7,62.2,58.6,48.0
2026-04-18T12:35:01.657001,44.9,42.4,37.4,34.3,66.3,58.0,48.5,43.6
2026-04-18T12:35:02.668195,43.4,38.4,33.3,31.3,64.0,55.6,48.0,44.4
2026-04-18T12:35:03.673138,57.1,52.5,50.5,49.0,77.8,76.8,74.7,68.7
2026-04-18T12:35:04.675692,42.3,37.8,34.3,29.6,63.3,56.6,43.4,44.4
2026-04-18T12:35:05.681008,38.8,33.7,28.6,29.3,63.3,56.1,46.5,40.6
2026-04-18T12:35:06.683060,53.1,49.5,43.0,41.4,61.2,59.0,45.5,42.9
2026-04-18T12:35:07.686644,39.4,36.7,35.4,32.0,58.2,53.1,42.4,35.0
2026-04-18T12:35:08.692010,43.9,40.4,41.4,35.7,48.0,28.3,20.2,16.0
2026-04-18T12:35:09.693885,40.4,40.4,33.7,36.0,44.3,34.0,24.0,20.0
2026-04-18T12:35:10.704362,41.4,31.3,31.0,26.3,60.6,58.6,52.5,43.0
2026-04-18T12:35:11.709708,42.9,40.4,33.7,29.3,63.0,55.1,47.0,40.4
2026-04-18T12:35:12.713261,50.5,49.0,41.4,37.1,76.5,69.0,65.7,60.6
2026-04-18T12:35:13.715055,55.1,51.0,44.9,44.0,67.7,61.2,55.1,48.0
2026-04-18T12:35:14.716689,49.0,44.4,44.0,39.4,75.5,74.5,73.7,64.3
2026-04-18T12:35:15.719005,41.8,37.8,32.0,27.6,67.7,59.6,54.5,46.5
2026-04-18T12:35:16.724000,38.8,30.9,28.3,24.2,61.9,54.5,44.4,39.0
2026-04-18T12:35:17.727597,37.8,33.3,27.0,27.6,60.6,53.1,51.5,47.0
2026-04-18T12:35:18.737898,39.4,37.4,31.6,28.0,63.0,56.6,48.0,39.4
2026-04-18T12:35:19.742813,52.0,46.5,42.4,39.2,75.5,73.0,65.7,63.6
2026-04-18T12:35:20.748277,52.0,46.9,42.4,41.0,71.7,67.7,62.0,55.0
2026-04-18T12:35:21.753452,40.4,36.0,35.0,29.3,59.6,54.5,41.4,32.0
