Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-29T08:16:26.874111,  0.0,05.1092,0.64557,03.2924
2026-04-29T08:16:27.847860,  1.0,05.1119,0.68646,03.5078
2026-04-29T08:16:28.866304,  2.0,05.1114,0.74619,03.8130
2026-04-29T08:16:29.837922,  3.0,05.1092,0.75191,03.8347
2026-04-29T08:16:30.857400,  4.0,05.1088,0.77526,03.9538
2026-04-29T08:16:31.874620,  5.0,05.1088,0.77200,03.9372
2026-04-29T08:16:32.847788,  6.0,05.1091,0.79911,04.0754
2026-04-29T08:16:33.869328,  7.0,05.1084,0.79423,04.0505
2026-04-29T08:16:34.842147,  8.0,05.1090,0.83679,04.2676
2026-04-29T08:16:35.861590,  9.0,05.1130,0.75886,03.8777
2026-04-29T08:16:36.877896, 10.0,05.1091,0.82382,04.2014
2026-04-29T08:16:37.851752, 11.0,05.1101,0.86423,04.4162
2026-04-29T08:16:38.870489, 12.0,05.1097,0.88136,04.4949
2026-04-29T08:16:39.842599, 13.0,05.1095,0.82729,04.2191
2026-04-29T08:16:40.863674, 14.0,05.1092,0.87999,04.4879
2026-04-29T08:16:41.838501, 15.0,05.1088,0.74995,03.8247
2026-04-29T08:16:42.856490, 16.0,05.1116,0.78732,04.0232
2026-04-29T08:16:43.872792, 17.0,05.1087,0.86858,04.4297
2026-04-29T08:16:44.846539, 18.0,05.1131,1.13942,05.8224
2026-04-29T08:16:45.869179, 19.0,05.1172,1.14193,05.8352
2026-04-29T08:16:46.843274, 20.0,05.1023,1.00878,05.1447
2026-04-29T08:16:47.863206, 21.0,05.1081,1.11167,05.6695
2026-04-29T08:16:48.840869, 22.0,05.1079,0.94189,04.8036
2026-04-29T08:16:49.862467, 23.0,05.1092,1.00471,05.1240
2026-04-29T08:16:50.838841, 24.0,05.0973,1.00885,05.1350
2026-04-29T08:16:51.859968, 25.0,05.1078,1.03676,05.2874
2026-04-29T08:16:52.878882, 26.0,05.1112,1.09412,05.5909
2026-04-29T08:16:53.854984, 27.0,05.1079,0.92042,04.6941
2026-04-29T08:16:54.875770, 28.0,05.1061,0.98644,05.0308
2026-04-29T08:16:55.847547, 29.0,05.1081,0.66106,03.3714
2026-04-29T08:16:56.862610, 30.0,05.1086,0.65989,03.3654
2026-04-29T08:16:57.876983, 31.0,05.1089,0.65762,03.3538
2026-04-29T08:16:58.851435, 32.0,05.1089,0.88524,04.5147
2026-04-29T08:16:59.873070, 33.0,05.1056,1.00566,05.1288
2026-04-29T08:17:00.848444, 34.0,05.1016,0.95559,04.8735
2026-04-29T08:17:01.866774, 35.0,05.1086,0.92825,04.7340
2026-04-29T08:17:02.838608, 36.0,05.1126,0.98323,05.0243
2026-04-29T08:17:03.858295, 37.0,05.1108,1.01078,05.1650
2026-04-29T08:17:04.875807, 38.0,05.1117,0.94501,04.8290
2026-04-29T08:17:05.850291, 39.0,05.1078,0.90949,04.6383
2026-04-29T08:17:06.869198, 40.0,05.1073,0.99614,05.0803
2026-04-29T08:17:07.843038, 41.0,05.1066,0.92968,04.7413
2026-04-29T08:17:08.860157, 42.0,05.1105,0.95003,04.8546
2026-04-29T08:17:09.876264, 43.0,05.1092,0.52260,02.6652
2026-04-29T08:17:10.846625, 44.0,05.1095,0.51243,02.6133
2026-04-29T08:17:11.864726, 45.0,05.1089,0.64544,03.2917
2026-04-29T08:17:12.840507, 46.0,05.1148,1.14785,05.8655
2026-04-29T08:17:13.858515, 47.0,05.1117,1.21994,06.2338
2026-04-29T08:17:14.876652, 48.0,05.1031,0.94023,04.7951
2026-04-29T08:17:15.849634, 49.0,05.1131,1.10104,05.6263
2026-04-29T08:17:16.870113, 50.0,05.1158,1.06901,05.4626
2026-04-29T08:17:17.843049, 51.0,05.1094,1.16684,05.9508
2026-04-29T08:17:18.860242, 52.0,05.0998,0.97217,04.9483
2026-04-29T08:17:19.879303, 53.0,05.1151,1.01419,05.1825
