Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-07-09T03:27:03.299767,  0.0,05.1110,0.46803,02.3916
2026-07-09T03:27:04.306078,  1.0,05.1109,0.46847,02.3938
2026-07-09T03:27:05.310172,  2.0,05.1080,0.63611,03.2441
2026-07-09T03:27:06.319788,  3.0,05.1105,0.83292,04.2562
2026-07-09T03:27:07.321159,  4.0,05.1104,0.82523,04.2169
2026-07-09T03:27:08.328180,  5.0,05.0969,0.76634,03.9006
2026-07-09T03:27:09.338370,  6.0,05.1111,0.81578,04.1686
2026-07-09T03:27:10.345506,  7.0,05.1205,0.84586,04.3308
2026-07-09T03:27:11.355491,  8.1,05.1051,0.85700,04.3707
2026-07-09T03:27:12.365612,  9.1,05.1051,0.67326,03.4336
2026-07-09T03:27:13.373628, 10.1,05.1056,1.51634,07.7333
2026-07-09T03:27:14.379738, 11.1,05.1156,1.55980,07.9705
2026-07-09T03:27:15.380550, 12.1,05.1050,0.84113,04.2897
2026-07-09T03:27:16.388445, 13.1,05.1117,0.69714,03.5623
2026-07-09T03:27:17.394076, 14.1,05.1175,0.71833,03.6706
2026-07-09T03:27:18.400620, 15.1,05.1198,0.69434,03.5480
2026-07-09T03:27:19.405533, 16.1,05.1120,0.69844,03.5690
2026-07-09T03:27:20.415436, 17.1,05.1076,1.51542,07.7286
2026-07-09T03:27:21.417961, 18.1,05.1008,1.64067,08.3674
2026-07-09T03:27:22.421683, 19.1,05.0997,1.61454,08.2180
2026-07-09T03:27:23.422195, 20.1,05.1070,1.53501,07.8285
2026-07-09T03:27:24.431042, 21.1,05.1130,0.86581,04.4242
2026-07-09T03:27:25.437681, 22.1,05.1028,0.88565,04.5168
2026-07-09T03:27:26.447464, 23.1,05.1237,0.95092,04.8687
2026-07-09T03:27:27.457433, 24.2,05.1172,0.90185,04.6084
2026-07-09T03:27:28.467462, 25.2,05.1236,0.81327,04.1639
2026-07-09T03:27:29.477732, 26.2,05.0941,0.95945,04.8836
2026-07-09T03:27:30.487587, 27.2,05.1116,0.78170,03.9944
2026-07-09T03:27:31.488400, 28.2,05.1089,0.65417,03.3362
