timestamp,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3
2026-07-09T08:19:56.524960,25.5,7.1,34.7,4.0
2026-07-09T08:19:57.525455,25.5,6.0,24.0,3.9
2026-07-09T08:19:58.528553,26.7,4.1,25.0,2.0
2026-07-09T08:19:59.529728,24.7,4.1,26.8,3.0
2026-07-09T08:20:00.530548,64.0,32.3,65.3,35.4
2026-07-09T08:20:01.532518,91.8,48.0,99.0,52.0
2026-07-09T08:20:02.538205,92.9,48.5,100.0,46.5
2026-07-09T08:20:03.539006,39.6,39.2,41.8,35.4
2026-07-09T08:20:04.539766,1.0,31.2,3.0,25.3
2026-07-09T08:20:05.540368,1.0,29.8,2.9,24.7
2026-07-09T08:20:06.540924,1.0,29.8,2.9,25.3
2026-07-09T08:20:07.541663,27.3,33.3,29.0,38.2
2026-07-09T08:20:08.543060,91.9,50.0,100.0,60.0
2026-07-09T08:20:09.546392,91.8,47.9,99.0,60.4
2026-07-09T08:20:10.547989,92.1,49.0,100.0,51.5
2026-07-09T08:20:11.552285,91.8,48.0,100.0,45.4
2026-07-09T08:20:12.553004,93.0,48.0,99.0,46.4
2026-07-09T08:20:13.557008,92.2,47.5,100.0,47.0
2026-07-09T08:20:14.557954,13.1,31.6,31.3,15.2
2026-07-09T08:20:15.558331,1.0,29.2,26.0,2.9
2026-07-09T08:20:16.558706,3.0,28.1,25.8,2.0
2026-07-09T08:20:17.559081,3.0,28.9,25.8,1.0
2026-07-09T08:20:18.559490,2.0,34.7,32.0,1.0
2026-07-09T08:20:19.559975,2.0,36.7,34.0,3.0
2026-07-09T08:20:20.560444,2.0,38.0,33.0,2.0
2026-07-09T08:20:21.560903,1.0,39.6,32.7,3.0
2026-07-09T08:20:22.561365,3.0,38.6,32.7,2.0
2026-07-09T08:20:23.561807,4.9,38.6,31.6,0.0
2026-07-09T08:20:24.562257,3.0,39.6,30.9,2.0
2026-07-09T08:20:25.562716,3.9,38.6,32.7,1.0
2026-07-09T08:20:26.563172,3.0,38.0,31.2,2.9
2026-07-09T08:20:27.563624,2.0,39.0,33.0,1.0
2026-07-09T08:20:28.564135,88.5,43.6,97.0,56.9
2026-07-09T08:20:29.564779,27.3,26.5,5.0,12.9
2026-07-09T08:20:30.565160,7.1,25.3,21.0,7.9
2026-07-09T08:20:31.565570,1.0,24.5,29.4,4.1
2026-07-09T08:20:32.565951,2.0,24.7,30.8,4.1
2026-07-09T08:20:33.566388,2.0,29.6,34.3,9.8
2026-07-09T08:20:34.566855,13.1,29.2,18.0,14.9
2026-07-09T08:20:35.567321,0.0,29.5,37.5,8.9
2026-07-09T08:20:36.567820,84.2,41.0,94.0,68.0
2026-07-09T08:20:37.568458,92.2,40.4,100.0,66.0
2026-07-09T08:20:38.569048,92.9,40.8,99.0,53.1
2026-07-09T08:20:39.569708,92.0,40.0,100.0,54.0
2026-07-09T08:20:40.570498,91.9,39.8,100.0,53.1
2026-07-09T08:20:41.571031,19.2,32.3,21.8,31.3
2026-07-09T08:20:42.571489,1.0,29.8,2.0,26.0
2026-07-09T08:20:43.571945,2.9,29.8,2.9,27.0
2026-07-09T08:20:44.572400,9.0,22.7,1.0,25.3
2026-07-09T08:20:45.572775,14.3,11.3,9.8,24.5
2026-07-09T08:20:46.573368,86.0,43.9,93.0,54.5
2026-07-09T08:20:47.573822,68.7,43.8,74.7,40.2
2026-07-09T08:20:48.574205,17.0,13.1,21.2,11.0
2026-07-09T08:20:49.574593,8.2,8.7,26.5,22.3
2026-07-09T08:20:50.574973,1.0,7.0,25.3,30.4
2026-07-09T08:20:51.575398,2.0,8.0,31.4,32.7
2026-07-09T08:20:52.575842,6.9,12.7,32.0,26.8
2026-07-09T08:20:53.576388,2.0,9.8,33.7,32.7
2026-07-09T08:20:54.576853,3.9,8.9,32.7,33.0
2026-07-09T08:20:55.577541,71.0,41.6,84.2,47.5
2026-07-09T08:20:56.578041,51.5,41.4,60.0,37.0
2026-07-09T08:20:57.578417,10.0,31.4,16.8,6.1
2026-07-09T08:20:58.578802,20.8,8.9,26.7,6.1
2026-07-09T08:20:59.579190,28.3,7.9,24.5,2.0
2026-07-09T08:21:00.579619,31.6,7.9,31.3,1.0
2026-07-09T08:21:01.580352,67.3,29.3,62.4,27.3
2026-07-09T08:21:02.580799,53.5,40.6,44.3,35.0
2026-07-09T08:21:03.581181,1.0,32.0,19.2,8.2
2026-07-09T08:21:04.581569,1.0,28.1,26.5,2.9
2026-07-09T08:21:05.581943,3.9,28.1,27.3,1.0
2026-07-09T08:21:06.582360,1.0,31.2,31.0,0.0
2026-07-09T08:21:07.582813,7.1,29.5,37.5,0.0
2026-07-09T08:21:08.585518,45.8,37.4,79.2,62.2
2026-07-09T08:21:09.585998,20.2,32.7,32.7,40.0
2026-07-09T08:21:10.586415,2.0,26.7,5.1,29.7
2026-07-09T08:21:11.587147,0.0,27.7,6.1,30.8
2026-07-09T08:21:12.587956,0.0,27.5,5.1,30.8
2026-07-09T08:21:13.588856,2.0,30.7,7.0,32.0
2026-07-09T08:21:14.590318,24.5,47.5,36.6,59.0
2026-07-09T08:21:15.591961,18.2,39.6,25.3,35.0
2026-07-09T08:21:16.593641,3.9,30.9,2.0,25.7
2026-07-09T08:21:17.594683,5.8,30.3,9.0,16.5
2026-07-09T08:21:18.597715,5.9,28.4,23.8,11.9
2026-07-09T08:21:19.598453,59.4,52.0,93.9,90.9
2026-07-09T08:21:20.599059,48.5,48.5,96.0,88.7
2026-07-09T08:21:21.599589,23.2,13.9,20.0,5.0
2026-07-09T08:21:22.600140,5.9,6.1,26.0,24.2
2026-07-09T08:21:23.600886,1.0,4.1,27.5,30.8
2026-07-09T08:21:24.601525,0.0,6.0,28.0,31.4
2026-07-09T08:21:25.602162,6.9,20.4,30.0,21.4
2026-07-09T08:21:26.602910,15.5,39.6,10.8,15.2
2026-07-09T08:21:27.603549,20.6,38.6,8.0,6.9
2026-07-09T08:21:28.604341,25.5,51.5,39.6,49.5
2026-07-09T08:21:29.606706,63.0,91.9,100.0,53.5
2026-07-09T08:21:30.609603,42.9,91.9,100.0,55.0
2026-07-09T08:21:31.610998,39.8,92.7,100.0,53.1
2026-07-09T08:21:32.612000,38.1,91.8,100.0,54.0
2026-07-09T08:21:33.612541,35.7,67.7,78.8,41.2
2026-07-09T08:21:34.612977,25.3,7.8,25.8,3.0
2026-07-09T08:21:35.613926,27.3,7.8,26.5,2.0
2026-07-09T08:21:36.615519,49.0,92.0,100.0,53.5
2026-07-09T08:21:37.616749,32.3,44.0,61.0,29.7
2026-07-09T08:21:38.617228,27.6,2.0,30.7,6.1
2026-07-09T08:21:39.617757,6.0,31.0,32.3,8.0
