Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-07-13T19:31:29.883314,  0.0,05.1100,0.47519,02.4282
2026-07-13T19:31:30.886235,  1.0,05.1101,0.47640,02.4344
2026-07-13T19:31:31.891316,  2.0,05.1067,0.69244,03.5314
2026-07-13T19:31:32.893540,  3.0,05.1103,0.82347,04.2079
2026-07-13T19:31:33.895086,  4.0,05.1101,0.82488,04.2151
2026-07-13T19:31:34.900009,  5.0,05.1122,0.88352,04.5147
2026-07-13T19:31:35.904662,  6.0,05.1195,0.64910,03.3169
2026-07-13T19:31:36.905997,  7.0,05.1087,0.65414,03.3361
2026-07-13T19:31:37.910964,  8.0,05.0950,0.79660,04.0546
2026-07-13T19:31:38.915258,  9.0,05.1202,0.65021,03.3290
2026-07-13T19:31:39.917376, 10.0,05.1097,1.33280,06.7972
2026-07-13T19:31:40.921954, 11.0,05.1195,0.65945,03.3697
2026-07-13T19:31:41.922355, 12.0,05.1230,0.65631,03.3603
2026-07-13T19:31:42.924427, 13.0,05.1120,0.66386,03.3923
2026-07-13T19:31:43.929358, 14.0,05.1186,0.59143,03.0222
2026-07-13T19:31:44.934184, 15.1,05.1044,0.71688,03.6560
2026-07-13T19:31:45.939049, 16.1,05.1042,0.69711,03.5552
2026-07-13T19:31:46.942351, 17.1,05.1028,1.56277,07.9701
2026-07-13T19:31:47.943368, 18.1,05.1216,1.01451,05.1942
2026-07-13T19:31:48.948669, 19.1,05.0998,1.53841,07.8305
2026-07-13T19:31:49.953515, 20.1,05.1133,0.71171,03.6368
2026-07-13T19:31:50.956739, 21.1,05.1119,0.76568,03.9126
2026-07-13T19:31:51.962019, 22.1,05.1038,0.86341,04.4033
2026-07-13T19:31:52.963451, 23.1,05.1022,0.91430,04.6629
2026-07-13T19:31:53.968456, 24.1,05.1126,0.67642,03.4565
2026-07-13T19:31:54.973733, 25.1,05.1117,0.84418,04.3137
2026-07-13T19:31:55.976967, 26.1,05.1000,0.69915,03.5656
2026-07-13T19:31:56.981676, 27.1,05.1020,0.74007,03.7743
2026-07-13T19:31:57.982437, 28.1,05.1097,0.62228,03.1736
2026-07-13T19:31:58.986730, 29.1,05.1187,0.56141,02.8688
2026-07-13T19:31:59.991208, 30.1,05.1120,0.60685,03.1010
2026-07-13T19:32:00.995800, 31.1,05.1116,0.67158,03.4317
2026-07-13T19:32:01.999268, 32.1,05.1158,0.68232,03.4866
2026-07-13T19:32:03.002889, 33.1,05.1137,0.59923,03.0620
2026-07-13T19:32:04.003568, 34.1,05.1089,0.66900,03.4119
2026-07-13T19:32:05.005310, 35.1,05.1169,0.63118,03.2253
2026-07-13T19:32:06.006999, 36.1,05.1148,0.62056,03.1710
2026-07-13T19:32:07.011268, 37.1,05.1122,1.49258,07.6270
2026-07-13T19:32:08.012402, 38.1,05.1145,0.69184,03.5353
2026-07-13T19:32:09.012694, 39.1,05.1287,0.72133,03.6932
2026-07-13T19:32:10.016732, 40.1,05.0950,0.86109,04.3829
2026-07-13T19:32:11.021678, 41.1,05.1098,0.77612,03.9582
2026-07-13T19:32:12.024693, 42.1,05.1223,0.73380,03.7570
2026-07-13T19:32:13.031305, 43.1,05.1061,0.66341,03.3833
2026-07-13T19:32:14.033084, 44.2,05.1091,0.62067,03.1654
2026-07-13T19:32:15.035120, 45.2,05.1048,1.38202,07.0483
2026-07-13T19:32:16.037984, 46.2,05.1131,1.45672,07.4438
2026-07-13T19:32:17.041316, 47.2,05.1137,1.52473,07.7913
2026-07-13T19:32:18.045767, 48.2,05.1117,0.78698,04.0214
2026-07-13T19:32:19.046488, 49.2,05.1092,0.86768,04.4251
2026-07-13T19:32:20.049474, 50.2,05.1059,0.80423,04.1015
2026-07-13T19:32:21.054610, 51.2,05.0998,0.77784,03.9592
2026-07-13T19:32:22.059438, 52.2,05.1130,0.75616,03.8639
2026-07-13T19:32:23.062378, 53.2,05.1153,0.58099,02.9688
2026-07-13T19:32:24.063658, 54.2,05.1126,0.75628,03.8645
2026-07-13T19:32:25.067707, 55.2,05.0955,1.08400,05.5175
2026-07-13T19:32:26.071269, 56.2,05.1023,0.66306,03.3816
2026-07-13T19:32:27.072609, 57.2,05.1183,0.80591,04.1182
2026-07-13T19:32:28.073507, 58.2,05.1261,0.65897,03.3739
2026-07-13T19:32:29.078497, 59.2,05.0978,0.80059,04.0750
2026-07-13T19:32:30.082784, 60.2,05.1167,0.62263,03.1816
2026-07-13T19:32:31.087326, 61.2,05.1075,0.65758,03.3536
2026-07-13T19:32:32.092334, 62.2,05.1026,0.70346,03.5876
2026-07-13T19:32:33.097448, 63.2,05.1144,0.58484,02.9885
2026-07-13T19:32:34.102362, 64.2,05.1012,0.80581,04.1096
2026-07-13T19:32:35.104254, 65.2,05.1020,0.74127,03.7804
2026-07-13T19:32:36.108080, 66.2,05.1095,0.74563,03.8027
2026-07-13T19:32:37.108387, 67.2,05.1164,0.80137,04.0950
2026-07-13T19:32:38.109575, 68.2,05.1148,0.70129,03.5835
2026-07-13T19:32:39.111529, 69.2,05.0922,0.72706,03.7007
2026-07-13T19:32:40.116610, 70.2,05.0998,0.82648,04.2067
2026-07-13T19:32:41.120872, 71.2,05.1037,0.79305,04.0445
2026-07-13T19:32:42.125599, 72.2,05.1017,0.83860,04.2768
2026-07-13T19:32:43.128727, 73.2,05.1214,0.65864,03.3722
2026-07-13T19:32:44.132162, 74.3,05.1286,0.65986,03.3784
2026-07-13T19:32:45.137361, 75.3,05.0991,0.83003,04.2248
2026-07-13T19:32:46.139142, 76.3,05.1019,0.63305,03.2285
2026-07-13T19:32:47.144312, 77.3,05.1031,1.42600,07.2726
2026-07-13T19:32:48.145159, 78.3,05.1123,0.77711,03.9710
2026-07-13T19:32:49.145904, 79.3,05.1016,0.74805,03.8150
2026-07-13T19:32:50.148545, 80.3,05.1145,0.65765,03.3605
2026-07-13T19:32:51.150036, 81.3,05.1098,0.70349,03.5877
2026-07-13T19:32:52.154738, 82.3,05.0947,0.87573,04.4574
2026-07-13T19:32:53.157599, 83.3,05.1006,0.63212,03.2238
2026-07-13T19:32:54.160355, 84.3,05.1114,0.80292,04.1029
2026-07-13T19:32:55.161899, 85.3,05.1055,0.78757,04.0166
2026-07-13T19:32:56.166930, 86.3,05.1230,0.65646,03.3610
2026-07-13T19:32:57.170700, 87.3,05.1128,0.78675,04.0202
2026-07-13T19:32:58.174878, 88.3,05.1095,1.33832,06.8254
2026-07-13T19:32:59.177043, 89.3,05.0970,0.96568,04.9153
2026-07-13T19:33:00.182171, 90.3,05.1116,0.94430,04.8253
2026-07-13T19:33:01.187341, 91.3,05.1172,0.65993,03.3722
2026-07-13T19:33:02.190641, 92.3,05.1080,0.70900,03.6159
2026-07-13T19:33:03.195733, 93.3,05.1166,0.91137,04.6571
2026-07-13T19:33:04.200660, 94.3,05.0992,0.71413,03.6349
2026-07-13T19:33:05.203902, 95.3,05.0967,0.61075,03.1087
2026-07-13T19:33:06.203985, 96.3,05.1087,0.58486,02.9827
2026-07-13T19:33:07.209011, 97.3,05.1120,0.96477,04.9299
2026-07-13T19:33:08.214163, 98.3,05.1103,1.43870,07.3517
2026-07-13T19:33:09.219256, 99.3,05.1011,1.45085,07.3993
2026-07-13T19:33:10.220745,100.3,05.1267,0.79003,04.0449
2026-07-13T19:33:11.221024,101.3,05.1025,0.83570,04.2620
2026-07-13T19:33:12.222964,102.3,05.1211,0.78010,03.9941
2026-07-13T19:33:13.227990,103.3,05.1216,0.61484,03.1479
2026-07-13T19:33:14.229804,104.3,05.0967,0.84403,04.2961
2026-07-13T19:33:15.233445,105.4,05.1039,1.38452,07.0610
2026-07-13T19:33:16.236911,106.4,05.1073,0.67575,03.4463
2026-07-13T19:33:17.241999,107.4,05.1184,0.67769,03.4629
2026-07-13T19:33:18.247071,108.4,05.1162,0.82503,04.2159
2026-07-13T19:33:19.251359,109.4,05.1080,0.82421,04.2034
2026-07-13T19:33:20.253748,110.4,05.1055,0.62637,03.1944
2026-07-13T19:33:21.256105,111.4,05.1083,1.60313,08.1759
2026-07-13T19:33:22.261033,112.4,05.1209,0.85122,04.3582
2026-07-13T19:33:23.264626,113.4,05.0841,0.83933,04.2637
2026-07-13T19:33:24.268211,114.4,05.1298,0.66036,03.3810
2026-07-13T19:33:25.270489,115.4,05.1142,0.65807,03.3627
2026-07-13T19:33:26.275485,116.4,05.0969,0.82812,04.2151
2026-07-13T19:33:27.277492,117.4,05.1192,0.65567,03.3504
2026-07-13T19:33:28.282419,118.4,05.1142,1.09334,05.5869
2026-07-13T19:33:29.283583,119.4,05.1139,0.79824,04.0790
2026-07-13T19:33:30.284635,120.4,05.1057,1.51548,07.7289
2026-07-13T19:33:31.286542,121.4,05.1180,0.69400,03.5463
2026-07-13T19:33:32.291903,122.4,05.1052,0.86173,04.3948
2026-07-13T19:33:33.295622,123.4,05.1175,0.67698,03.4593
2026-07-13T19:33:34.297889,124.4,05.1098,0.82708,04.2181
2026-07-13T19:33:35.303311,125.4,05.1067,0.90485,04.6147
2026-07-13T19:33:36.307186,126.4,05.1162,0.78350,04.0036
2026-07-13T19:33:37.308472,127.4,05.1277,0.69538,03.5603
2026-07-13T19:33:38.310705,128.4,05.1041,0.83654,04.2663
2026-07-13T19:33:39.315870,129.4,05.1137,0.81267,04.1527
2026-07-13T19:33:40.320875,130.4,05.1108,0.70171,03.5857
2026-07-13T19:33:41.324801,131.4,05.1075,0.85015,04.3357
2026-07-13T19:33:42.327085,132.4,05.1145,0.83714,04.2777
